"","site","m","method","order","SC","qD","qD.LCL","qD.UCL"
"94","Great Chagos Bank.Eagle (S2)",10,"interpolated",0,0.699,5.99,5.405,6.575
"95","Great Chagos Bank.Eagle (S3)",10,"interpolated",0,0.684,6.147,5.628,6.667
"96","Great Chagos Bank.Middle Brother (E3)",10,"interpolated",0,0.829,4.723,3.666,5.78
"97","Great Chagos Bank.South Brother (E1)",10,"interpolated",0,0.849,2.699,2.155,3.242
"98","Great Chagos Bank.South Brother (E2)",10,"interpolated",0,0.662,6.133,5.547,6.719
"99","John Brewer1.John Brewer",10,"interpolated",0,0.633,6.487,6.053,6.921
"100","John Brewer2.John Brewer",10,"interpolated",0,0.681,6.159,5.709,6.609
"101","John Brewer3.John Brewer",10,"interpolated",0,0.669,6.021,5.446,6.597
"102","Kodey.Huvadhoo",10,"interpolated",0,0.787,3.996,3.142,4.85
"103","Kooddoo.Huvadhoo",10,"interpolated",0,0.774,4.029,2.927,5.13
"104","Kuredhdhoo.Huvadhoo",10,"interpolated",0,0.813,4.132,3.456,4.809
"105","Maamendhoo.Huvadhoo",10,"interpolated",0,0.835,3.342,2.724,3.96
"106","Maarehaa.Huvadhoo",10,"interpolated",0,0.747,4.952,4.178,5.726
"107","Mahadhdhoo.Huvadhoo",10,"interpolated",0,0.841,3.531,2.712,4.349
"108","Nilandhoo.Huvadhoo",10,"interpolated",0,0.852,2.892,2.287,3.497
"109","Peros Banhos.Ile Poule (S1)",10,"interpolated",0,0.668,6.476,5.891,7.061
"110","Peros Banhos.Ile Poule (S2)",10,"interpolated",0,0.779,5.585,4.979,6.191
"111","Peros Banhos.North Diamont",10,"interpolated",0,0.838,3.195,2.669,3.721
"112","Peros Banhos.Petite Coq (E4)",10,"interpolated",0,0.707,4.865,4.078,5.652
"113","Peros Banhos.S3",10,"interpolated",0,0.802,4.651,3.434,5.868
"114","Peros Banhos.South Coq (E5)",10,"interpolated",0,0.756,5.509,4.499,6.52
"115","Peros Banhos.South Coq (E6)",10,"interpolated",0,0.759,5.579,4.475,6.683
"116","Rib1.Rib",10,"interpolated",0,0.724,5.587,5.235,5.939
"117","Rib2.Rib",10,"interpolated",0,0.704,5.452,4.889,6.014
"118","Rib3.Rib",10,"interpolated",0,0.652,6.32,5.93,6.711
"119","Salamon.E2",10,"interpolated",0,0.759,4.09,3.327,4.854
"120","Salamon.E3",10,"interpolated",0,0.836,4.745,4.224,5.266
"121","Salamon.E4",10,"interpolated",0,0.724,5.994,5.242,6.746
"122","Salamon.Isle le Anglaise (S1)",10,"interpolated",0,0.826,4.182,3.429,4.935
"123","Salamon.Isle le Anglaise (S3)",10,"interpolated",0,0.881,4.469,3.971,4.968
"124","Salamon.S2",10,"interpolated",0,0.737,5.678,5.031,6.325
"125","Trunk1.Trunk",10,"interpolated",0,0.715,5.847,5.499,6.195
"126","Trunk2.Trunk",10,"interpolated",0,0.611,6.387,5.78,6.995
"127","Trunk3.Trunk",10,"interpolated",0,0.765,4.276,3.759,4.793
"128","Vilingili.Huvadhoo",10,"observed",0,1,3,2.08,3.92
"129","Vodamulaa.Huvadhoo",10,"interpolated",0,0.835,3.93,2.98,4.88
"130","Wheeler1.Wheeler",10,"interpolated",0,0.674,5.523,5.039,6.006
"131","Wheeler2.Wheeler",10,"interpolated",0,0.667,5.628,4.978,6.279
"132","Wheeler3.Wheeler",10,"interpolated",0,0.727,4.902,4.187,5.616
