"","site","m","method","order","SC","qD","qD.LCL","qD.UCL"
"112","Peros Banhos.S3",2,"interpolated",0,0.487,1.687,1.607,1.767
"113","Peros Banhos.South Coq (E5)",2,"interpolated",0,0.434,1.745,1.682,1.809
"114","Peros Banhos.South Coq (E6)",2,"interpolated",0,0.573,1.62,1.52,1.72
"115","Rib1.Rib",2,"interpolated",0,0.246,1.866,1.842,1.889
"116","Rib2.Rib",2,"interpolated",0,0.258,1.856,1.817,1.896
"117","Rib3.Rib",2,"interpolated",0,0.301,1.831,1.806,1.855
"118","Salamon.E2",2,"interpolated",0,0.494,1.695,1.605,1.785
"119","Salamon.E3",2,"interpolated",0,0.506,1.681,1.589,1.773
"120","Salamon.E4",2,"interpolated",0,0.693,1.475,1.308,1.643
"121","Salamon.Isle le Anglaise (S1)",2,"interpolated",0,0.453,1.716,1.632,1.799
"122","Salamon.Isle le Anglaise (S3)",2,"interpolated",0,0.718,1.443,1.33,1.557
"123","Salamon.S2",2,"interpolated",0,0.563,1.649,1.599,1.699
"124","Trunk1.Trunk",2,"interpolated",0,0.221,1.881,1.865,1.897
"125","Trunk2.Trunk",2,"interpolated",0,0.301,1.827,1.793,1.861
"126","Trunk3.Trunk",2,"interpolated",0,0.14,1.927,1.913,1.941
"127","Vilingili.Huvadhoo",2,"interpolated",0,0.435,1.747,1.712,1.781
"128","Vodamulaa.Huvadhoo",2,"interpolated",0,0.397,1.766,1.693,1.839
"129","Wheeler1.Wheeler",2,"interpolated",0,0.291,1.83,1.786,1.874
"130","Wheeler2.Wheeler",2,"interpolated",0,0.312,1.815,1.76,1.87
"131","Wheeler3.Wheeler",2,"interpolated",0,0.19,1.898,1.88,1.916
