Date,Location/Atoll,Island/Site,Exposure,GPS North,GPS East,Site,Depth,Transect,Transect area,Family,Targeted/Untargeted,Species,No.,Length,Biomass (g),Biomass (kg/ha),Abundance/500m2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.007,073¼26.708,1,8m,1,250,Acanthuridae,,Acanthurus leucosternon,1,12,40.61200704,1.624480282,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.008,073¼26.709,1,8m,1,250,Acanthuridae,,Acanthurus leucosternon,1,12,40.61200704,1.624480282,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.009,073¼26.710,1,8m,1,250,Acanthuridae,,Acanthurus leucosternon,1,12,40.61200704,1.624480282,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.010,073¼26.711,1,8m,1,250,Acanthuridae,,Acanthurus leucosternon,1,13,51.30911989,2.052364796,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.011,073¼26.712,1,8m,1,250,Acanthuridae,,Acanthurus leucosternon,1,13,51.30911989,2.052364796,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.012,073¼26.713,1,8m,1,250,Acanthuridae,,Acanthurus leucosternon,1,13,51.30911989,2.052364796,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.013,073¼26.714,1,8m,1,250,Acanthuridae,,Acanthurus leucosternon,1,13,51.30911989,2.052364796,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.014,073¼26.715,1,8m,1,250,Acanthuridae,,Acanthurus nigrofuscus,1,12,47.91784216,1.916713686,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.015,073¼26.716,1,8m,1,250,Acanthuridae,,Acanthurus nigrofuscus,1,12,47.91784216,1.916713686,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.016,073¼26.717,1,8m,1,250,Acanthuridae,,Acanthurus nigrofuscus,1,12,47.91784216,1.916713686,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.017,073¼26.718,1,8m,1,250,Acanthuridae,,Acanthurus nigrofuscus,1,13,60.76261022,2.430504409,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.018,073¼26.719,1,8m,1,250,Acanthuridae,,Acanthurus nigrofuscus,1,13,60.76261022,2.430504409,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.019,073¼26.720,1,8m,1,250,Acanthuridae,,Acanthurus nigrofuscus,1,13,60.76261022,2.430504409,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.020,073¼26.721,1,8m,1,250,Acanthuridae,,Ctenochaetus truncatus,1,11,40.33592989,1.613437196,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.021,073¼26.722,1,8m,1,250,Acanthuridae,,Ctenochaetus truncatus,1,11,40.33592989,1.613437196,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.022,073¼26.723,1,8m,1,250,Acanthuridae,,Ctenochaetus truncatus,1,12,50.53176248,2.021270499,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.023,073¼26.724,1,8m,1,250,Acanthuridae,,Ctenochaetus truncatus,1,12,50.53176248,2.021270499,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.024,073¼26.725,1,8m,1,250,Acanthuridae,,Ctenochaetus truncatus,1,12,50.53176248,2.021270499,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.055,073¼26.756,1,8m,1,250,Scaridae,,Chlorurus sordidus,1,11,30.72155644,1.228862258,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.056,073¼26.757,1,8m,1,250,Scaridae,,Chlorurus sordidus,1,12,39.64274309,1.585709724,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.057,073¼26.758,1,8m,1,250,Scaridae,,Chlorurus sordidus,1,12,39.64274309,1.585709724,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.058,073¼26.759,1,8m,1,250,Scaridae,,Chlorurus sordidus,1,12,39.64274309,1.585709724,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.059,073¼26.760,1,8m,1,250,Scaridae,,Chlorurus sordidus,1,13,50.12064708,2.004825883,2
11/03/2013,Maldives,Maamendhoo,Exposed,00¼43.060,073¼26.761,1,8m,1,250,Scaridae,,Chlorurus sordidus,1,13,50.12064708,2.004825883,2
