Date,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,15/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,16/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,17/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,19/02/2010,20/02/2010,20/02/2010,20/02/2010,20/02/2010,20/02/2010,20/02/2010,20/02/2010,20/02/2010,22/02/2010,22/02/2010,22/02/2010,22/02/2010,22/02/2010,22/02/2010,22/02/2010,22/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,23/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,25/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,26/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010,27/02/2010
Seriatopora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stylophora,,,,,,3,6,1,,,,,3,5,1,2,2,,1,,4,4,6,1,1,,1,,2,2,1,1,7,3,17,4,6,9,12,17,2,1,,1,1,,,,2,2,7,,1,5,2,1,7,2,,,2,7,1,1,5,,1,,,1,1,,,,,,1,,,5,,,,,3,2,,2,,,,,4,1,3,2,,,,,,,,,,,,,,1,,3,,,,,,,1,2,,,,,3,2,,,,,,,,2,,1,,,,,1,1,,5
Stylocoeniella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites - branching,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites - massive,4,8,5,5,7,8,6,3,1,2,5,4,,,,,1,6,5,5,14,16,7,2,4,2,3,3,10,10,11,4,6,15,17,14,,,,,4,4,22,12,1,,1,,22,19,21,19,,,,,14,14,13,17,,,,1,10,16,14,14,,2,1,1,9,8,14,7,3,5,6,6,6,10,13,16,1,,,,6,12,14,9,,1,3,2,2,2,2,4,,1,3,,1,2,4,4,2,2,,1,6,3,9,2,3,5,3,9,15,13,14,2,2,,,,3,1,4,3,1,,3,1,6,5,2,6,,,,
Alveopora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goniopora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Favia (plocoid),,1,2,2,1,1,3,,,,,,1,,,,1,5,2,,1,3,4,,,,,,1,,,,,3,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,2,6,,,1,1,,4,1,2,1,,,1,,1,2,1,,,1,,,2,1,,,,,,,,,,,,,
Favites (ceriod),1,1,5,2,,1,,,,1,,,,,1,,2,3,1,,2,,1,1,,,,,,,,,1,,1,,1,,1,,2,1,,,,,,,1,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,1,1,,,,,1,,,2,,2,,1,,1,1,3,1,1,1,1,,2,1,2,2,4,1,,1,,,,,,,,1,,1,1,,,,,2,,,,,
Goniastrea,,,,1,2,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,1,,,1,,,,,,,1,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,1,,,1,1,,,,2,,,,
Montastrea,,,,,,1,,,,,,,,,,,1,,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
