"","reef","biomass.kgha","hard.coral","macroalgae","rubble","complexity","fish.biom","substrate"
"1","Davies",18.3645581708279,59.1216638273708,0.239565587734242,2.5146933560477,2.47572402044293,4654.5674148271,1.36626916524702
"2","Dhaandhoo",6.71418111518667,56.79,0.765,9.515,3.125,629.772587105,0
"3","Diego Garcia",17.666952623073,35.5173487544484,0.603202846975089,34.3656583629893,2.26890569395018,1242.13833044981,23.5569395017794
"4","Gemanafushi",5.53619381077236,40.885,0.47,23.61,2,477.52106391625,0.01
"5","Great Chagos Bank",49.2015977581341,26.306872605364,0.0632183908045977,0.275742337164751,1.88254310344828,9429.24407995451,50.7896312260536
"6","John Brewer",10.5587341172901,16.4335585585586,7.59594594594595,6.21576576576577,1.98716216216216,3601.3245154965,0.980855855855856
"7","Kodey",7.06520631860177,45.875,2.175,12.13,2.125,483.7364288615,1.01
"8","Kooddoo",8.19872756648598,51.67,0.045,8.425,2.25,396.6165704985,0
"9","Kuredhdhoo",6.33599652085787,49.41,5.045,9.045,2.375,652.42481050825,0
"10","Maamendhoo",6.25621899108667,41.55,0,11.99,2.375,585.02844736375,0.49
"11","Maarehaa",8.37675755428205,23.68,0.905,2.3775,2.375,1250.5510420815,0.52
"12","Mahadhdhoo",4.05476770017,35.555,4.945,30.09,2.375,592.19554873675,1.725
"13","Mahe",14.3076982831748,14.34069604964,2.36768188707844,26.7734209217507,2.20361545840322,543.678930091236,27.974889873058
"14","Nilandhoo",5.42636946987117,51.025,0.83,20.815,2.75,839.05466346,0.32
"15","Peros Banhos",29.9121524121222,32.5217696629214,0.184866573033708,7.32531601123596,2.55644311797753,10272.0068184543,32.9143258426966
"16","Praslin",15.9668604782209,7.02623823970548,5.58447811562585,22.4735572334333,2.51218156895419,654.608139605681,37.5076484524134
"17","Rib",8.81334256966277,41.2359042553191,0.0925531914893617,2.09858156028369,2.18078457446809,3841.46141639003,0
"18","Salamon",24.6266224008665,44.6446335078534,0.111256544502618,0.744437172774869,2.69461714659686,5508.09359687659,24.7293848167539
"19","Trunk",9.1605787248523,17.4045144315932,19.0643430238616,5.58667422111076,1.84799611857872,2770.16046586282,0.914875742419506
"20","Vilingili",3.46660264782759,50.285,0.785,2.54,2,375.64162822725,0
"21","Vodamulaa",7.9783433315,42.235,0.085,24.735,3,528.698334028,1.7
"22","Wheeler",13.3022919307455,46.2431818181818,3.17619047619048,4.42299783549784,2.40592532467532,5984.49644916381,16.6053571428571
