"","x"
"1","Middle Brother"
"2","Eagle"
"3","South Brother"
"4","Sheltered site 3"
"5","Exposed site 1"
"6","Exposed site 2"
"7","Exposed site 3"
"8","Ile Poule"
"9","Sheltered site 2"
"10","Ile Anglais"
"11","Ile Fouquet"
"12","Ile Takamaka"
"13","South"
"14","Barton Point west"
"15","Diego Garcia East coast"
"16","Barton Point"
"17","North Diamont"
"18","Cannon Point"
"19","Middle Island"
"20","Cannon Point 2"
