Latin name,Diet
Cirripectes gilberti,OM
Cirripectes hutchinsi,HD
Cirripectes imitator,OM
Cirripectes jenningsi,OM
Cirripectes kuwamurai,PK
Cirripectes obscurus,IM
Cirripectes perustus,PK
Cirripectes polyzona,IM
Cirripectes quagga,IM
Cirripectes randalli,IM
Cirripectes springeri,IM
Cirripectes stigmaticus,IM
Cirripectes vanderbilti,FC
Cirripectes variolosus,IM
Cirripectes viriosus,IM
Suezichthys aylingi,FC
Suezichthys gracilis,IM
Suezichthys soelae,IM
Suezichthys caudavittatus,IM
Suezichthys cyanolaemus,IM
Suezichthys arquatus,IM
Blennodesmus scapularis,FC
Congrogadus amplimaculatus,FC
Congrogadus malayanus,PK
Congrogadus spinifer,IM
Congrogadus hierichthys,IM
Congrogadus subducens,IM
Halidesmus polytretus,IM
Halidesmus scapularis,OM
Halidesmus thomaseni,OM
Halimuraena hexagonata,OM
Halimuraena lepopareia,OM
Halimuraena shakai,IM
Halimuraenoides isostigma,IM
Haliophis aethiopus,IM
Haliophis guttatus,IM
Natalichthys leptus,OM
Natalichthys ori,IM
Natalichthys sam,IM
Pholidichthys leucotaenia,IM
Carangoides chrysophrys,PK
Carangoides malabaricus,IM
Upeneus moluccensis,IM
Pomadasys maculatus,FC
Leiognathus equulus,HM
Siganus canaliculatus,FC
Siganus spinus,OM
Terapon jarbua,OM
Epinephelus fuscoguttatus,IM
Epinephelus tauvina,IM
Gerres filamentosus,FC
Gnathanodon speciosus,PK
Diagramma pictum,PK
Pseudobalistes fuscus,PK
Polydactylus sextarius,PK
Dactyloptena orientalis,IM
Sphyraena obtusata,PK
Saurida gracilis,PK
Dentex gibbosus,PK
Dentex maroccanus,PK
Dentex canariensis,PK
Pagrus caeruleostictus,PK
Argyrops filamentosus,PK
Polysteganus undulosus,PK
Acanthopagrus bifasciatus,PK
Sillago sihama,PK
Siganus rivulatus,PK
Umbrina ronchus,OM
Amphiprion chrysopterus,FC
Siganus vermiculatus,IM
Symphodus mediterraneus,PK
Gobius cobitis,IM
Xyrichtys novacula,IM
Parapristipoma trilineatum,FC
Siganus guttatus,IM
Lateolabrax japonicus,IM
Paracentropogon rubripinnis,IM
Branchiostegus japonicus,IM
Branchiostegus argentatus,PK
Branchiostegus auratus,IM
Sebastiscus marmoratus,IM
Doederleinia berycoides,IM
Apogon cyanosoma,FC
Eurypegasus draconis,IM
Siganus corallinus,IM
Siganus trispilos,IM
Siganus luridus,IM
Siganus argenteus,IM
Siganus sutor,PK
Siganus fuscescens,IM
Siganus puellus,IM
Siganus javus,IM
Siganus puelloides,IM
Siganus punctatissimus,PK
Siganus punctatus,IM
Siganus stellatus,PK
Siganus doliatus,FC
Siganus virgatus,FC
Siganus lineatus,FC
Siganus randalli,PK
Siganus labyrinthodes,FC
Siganus magnificus,PK
Siganus vulpinus,PK
Siganus unimaculatus,FC
Siganus uspi,PK
Siganus niger,IM
Priacanthus tayenus,IM
Amphiprion melanopus,IM
Amphiprion tricinctus,IM
Diodon holocanthus,IM
Sargocentron diadema,PK
Plotosus lineatus,IM
Pomadasys jubelini,IM
Sillago ciliata,IM
Acanthurus polyzona,FC
Acanthurus nubilus,IM
Acanthurus thompsoni,IM
Acanthurus guttatus,FC
Acanthurus leucopareius,FC
Acanthurus nigroris,HD
Acanthurus nigrofuscus,IM
Acanthurus sohal,PK
Acanthurus leucocheilus,IM
Acanthurus pyroferus,IM
Acanthurus olivaceus,HD
Acanthurus fowleri,PK
Acanthurus maculiceps,PK
Acanthurus nigricauda,IM
Acanthurus auranticavus,IM
Acanthurus grammoptilus,IM
Acanthurus blochii,PK
Lagocephalus sceleratus,FC
Ambassis gymnocephalus,IM
Liza macrolepis,PK
Valamugil buchanani,PK
Liza subviridis,PK
Upeneus vittatus,IM
Otolithes ruber,PK
Epinephelus sexfasciatus,IM
Plectropomus leopardus,IM
Sphyraena jello,IM
Terapon theraps,IM
Encheliophis homei,IM
Apogon nigrofasciatus,FC
Apogon aureus,IM
Apogon fleurieu,IM
Apogon pselion,IM
Paracheilinus octotaenia,IM
Paracheilinus lineopunctatus,IM
Paracheilinus mccoskeri,FC
Paracheilinus carpenteri,IM
Paracheilinus filamentosus,IM
Paracheilinus angulatus,IM
Paracheilinus hemitaeniatus,FC
Pseudojuloides argyreogaster,IM
Pseudojuloides elongatus,IM
Pseudojuloides atavai,OM
Pseudojuloides pyrius,PK
Pseudojuloides cerasinus,IM
Pseudojuloides xanthomos,PK
Pseudojuloides mesostigma,PK
Pseudojuloides erythrops,OM
Halichoeres chrysus,OM
Halichoeres melasmapomus,PK
Halichoeres argus,FC
Halichoeres melanurus,IM
Halichoeres chloropterus,PK
Halichoeres timorensis,PK
Halichoeres podostigma,IM
Halichoeres prosopeion,PK
Labropsis alleni,PK
Labropsis polynesica,IM
Labropsis xanthonota,IM
Labropsis manabei,OM
Labropsis micronesica,OM
Labropsis australis,OM
Wetmorella albofasciata,OM
Wetmorella nigropinnata,PK
Xenojulis margaritaceus,OM
Plectropomus maculatus,IM
Anampses caeruleopunctatus,IM
Anampses meleagrides,IM
Anampses neoguinaicus,IM
Anampses geographicus,PK
Anampses femininus,IM
Anampses twistii,IM
Gymnothorax undulatus,IM
Sargocentron punctatissimum,IM
Sargocentron caudimaculatum,IM
Sargocentron tiere,IM
Sargocentron violaceum,IM
Myripristis berndti,IM
Neoniphon sammara,IM
Dendrochirus brachypterus,IM
Pterois radiata,IM
Pterois antennata,IM
Scorpaenodes parvipinnis,PK
Anampses cuvier,PK
Anampses lennardi,IM
Anampses elegans,IM
Anampses chrysocephalus,IM
Anampses viridis,IM
Scorpaenopsis diabolus,OM
Anyperodon leucogrammicus,FC
Epinephelus merra,FC
Grammistes sexlineatus,IM
Sphaeramia orbicularis,IM
Balistes punctatus,IM
Cephalopholis taeniops,IM
Chaetodipterus lippei,IM
Prionurus biafraensis,IM
Bodianus speciosus,IM
Ephippion guttifer,IM
Gephyroberyx darwinii,IM
Scarus dubius,IM
Scarus flavipectoralis,FC
Scarus rivulatus,IM
Scarus globiceps,IM
Scarus prasiognathos,IM
Scarus dimidiatus,IM
Scarus spinus,IM
Scarus schlegeli,IM
Chlorurus bleekeri,IM
Chlorurus troschelii,IM
Chlorurus japanensis,IM
Chlorurus gibbus,IM
Scarus koputea,IM
Scarus longipinnis,IM
Chromis atripes,IM
Chromis elerae,IM
Macropharyngodon meleagris,IM
Macropharyngodon negrosensis,IM
Polydactylus quadrifilis,FC
Pomadasys incisus,IM
Pomadasys rogerii,IM
Pontinus accraensis,IM
Scarus hoefleri,IM
Scorpaena angolensis,IM
Scorpaena elongata,IM
Scorpaena normani,OM
Scorpaena laevis,OM
Scorpaena stephanica,IM
Serranus accraensis,IM
Sphyraena afra,IM
Chaetodon hoefleri,FC
Arripis trutta,OM
Pagrus auriga,OM
Pagrus africanus,IM
Paraconger notialis,IM
Chilomycterus spinosus mauretanicus,IM
Antennarius pardalis,PK
Blennius normani,IM
Spicara melanurus,IM
Serranus africanus,IM
Prognathodes marcellae,IM
Thorogobius angolensis,IM
Cirrhilabrus cyanopleura,IM
Coris pictoides,IM
Diproctacanthus xanthurus,IM
Labrichthys unilineatus,PK
Dascyllus aruanus,PK
Dascyllus melanurus,PK
Dascyllus trimaculatus,PK
Dascyllus reticulatus,FC
Pomadasys commersonnii,IM
Chromis lineata,PK
Chaetodon miliaris,PK
Liza richardsonii,IM
Kuhlia sandvicensis,IM
Epinephelus akaara,IM
Pterois volitans,HD
Cyclichthys orbicularis,HD
Atherinomorus capricornensis,HD
Atherinomorus endrachtensis,HD
Gramma loreto,HD
Sargocentron melanospilos,HD
Sargocentron marisrubri,HD
Epinephelus fasciatus,HD
Epinephelus cyanopodus,HD
Epinephelus maculatus,IM
Variola louti,OM
Epinephelus areolatus,OM
Rhabdosargus sarba,OM
Parajulis poecilepterus,OM
Evynnis japonica,OM
Sparodon durbanensis,OM
Echidna nebulosa,IM
Echidna polyzona,IM
Gymnothorax chilospilus,IM
Gymnothorax favagineus,IM
Gymnothorax flavimarginatus,FC
Gymnothorax margaritophorus,FC
Gymnothorax meleagris,OM
Gymnothorax pseudothyrsoideus,IM
Gymnothorax rueppellii,IM
Gymnothorax zonipectis,IM
Synodus variegatus,IM
Uropterygius marmoratus,HD
Antennarius coccineus,IM
Antennarius nummifer,IM
Hemiramphus far,OM
Sargocentron cornutum,IM
Myripristis murdjan,IM
Choeroichthys sculptus,IM
Arothron hispidus,PK
Halobatrachus didactylus,IM
Upeneus tragula,IM
Fistularia commersonii,IM
Cirrhitichthys falco,PK
Chaetodon kleinii,IM
Centropyge vrolikii,PK
Amphiprion clarkii,IM
Chromis atripectoralis,IM
Centropyge bicolor,PK
Cynoglossus bilineatus,IM
Centropyge flavissima,PK
Centropyge bispinosa,PK
Labroides dimidiatus,PK
Chaetodon oxycephalus,IM
Antennarius striatus,IM
Amblyglyphidodon curacao,IM
Koumansetta rainfordi,IM
Cheilodipterus quinquelineatus,IM
Chelmon rostratus,IM
Cirrhilabrus temminckii,IM
Coris variegata,FC
Chrysiptera rollandi,IM
Hemiglyphidodon plagiometopon,IM
Bodianus anthioides,FC
Bodianus axillaris,FC
Bodianus bimaculatus,FC
Bodianus diana,IM
Bodianus mesothorax,PK
Choerodon anchorago,PK
Pachymetopon blochii,PK
Muraenesox bagio,IM
Oplegnathus conwayi,IM
Pomadasys olivaceus,IM
Neoscorpis lithophilus,IM
Dinoperca petersi,IM
Epinephelus andersoni,IM
Epinephelus chlorostigma,FC
Epinephelus tukula,FC
Acanthopagrus berda,IM
Boopsoidea inornata,IM
Chrysoblephus anglicus,IM
Chrysoblephus laticeps,FC
Chrysoblephus puniceus,IM
Cymatoceps nasutus,IM
Pachymetopon grande,IM
Polysteganus praeorbitalis,IM
Rhabdosargus holubi,IM
Spondyliosoma emarginatum,IM
Bolbometopon muricatum,IM
Cetoscarus bicolor,PK
Hipposcarus longiceps,IM
Scarus altipinnis,IM
Scarus xanthopleura,HD
Chlorurus bowersi,IM
Scarus chameleon,IM
Scarus festivus,IM
Scarus forsteni,IM
Scarus frenatus,IM
Chlorurus frontalis,HD
Scarus ghobban,IM
Scarus niger,IM
Scarus oviceps,IM
Scarus psittacus,PK
Scarus quoyi,PK
Scarus rubroviolaceus,PK
Chlorurus sordidus,PK
Chaetodon auriga,PK
Chaetodon baronessa,PK
Chaetodon bennetti,OM
Chaetodon burgessi,FC
Chaetodon citrinellus,IM
Chaetodon ephippium,IM
Chaetodon flavocoronatus,IM
Chaetodon lineolatus,IM
Chaetodon lunula,IM
Chaetodon melannotus,FC
Chaetodon mertensii,FC
Chaetodon meyeri,FC
Chaetodon ocellicaudus,IM
Chaetodon octofasciatus,IM
Chaetodon punctatofasciatus,FC
Chaetodon quadrimaculatus,FC
Chaetodon rafflesii,IM
Chaetodon reticulatus,FC
Chaetodon semeion,IM
Chaetodon speculum,FC
Chaetodon tinkeri,IM
Chaetodon trifascialis,IM
Chaetodon trifasciatus,FC
Chaetodon ulietensis,IM
Chaetodon unimaculatus,FC
Chaetodon vagabundus,FC
Coradion chrysozonus,HD
Forcipiger flavissimus,IM
Forcipiger longirostris,IM
Hemitaurichthys polylepis,IM
Hemitaurichthys thompsoni,IM
Heniochus acuminatus,FC
Heniochus chrysostomus,IM
Heniochus monoceros,IM
Heniochus singularius,IM
Heniochus varius,IM
Pseudodax moluccanus,IM
Oxycheilinus arenatus,IM
Oxycheilinus bimaculatus,IM
Cheilinus oxyrhynchus,FC
Cheilinus chlorourus,IM
Oxycheilinus digramma,IM
Cheilinus fasciatus,IM
Oxycheilinus orientalis,IM
Cheilinus oxycephalus,FC
Cheilinus trilobatus,IM
Cheilinus undulatus,IM
Oxycheilinus unifasciatus,IM
Epibulus insidiator,IM
Cymolutes praetextatus,IM
Cymolutes torquatus,IM
Novaculichthys macrolepidotus,IM
Novaculichthys taeniourus,IM
Iniistius aneitensis,IM
Iniistius celebicus,IM
Iniistius pavo,IM
Cirrhilabrus exquisitus,IM
Pseudocheilinops ataenia,FC
Pseudocheilinus evanidus,IM
Pseudocheilinus hexataenia,PK
Pseudocheilinus octotaenia,IM
Pseudocheilinus tetrataenia,IM
Pteragogus cryptus,FC
Pteragogus guttatus,IM
Anampses melanurus,IM
Cheilio inermis,IM
Coris aygula,IM
Coris gaimard,IM
Gomphosus varius,PK
Halichoeres biocellatus,IM
Halichoeres hartzfeldii,PK
Halichoeres margaritaceus,IM
Halichoeres marginatus,FC
Halichoeres richmondi,PK
Halichoeres scapularis,IM
Halichoeres trimaculatus,FC
Hemigymnus fasciatus,FC
Hemigymnus melapterus,FC
Hologymnosus annulatus,FC
Hologymnosus doliatus,FC
Pseudocoris yamashiroi,IM
Stethojulis bandanensis,FC
Stethojulis strigiventer,PK
Thalassoma amblycephalum,FC
Thalassoma hardwicke,FC
Thalassoma jansenii,IM
Thalassoma lunare,FC
Thalassoma lutescens,FC
Thalassoma purpureum,FC
Thalassoma quinquevittatum,FC
Thalassoma trilobatum,FC
Labroides bicolor,FC
Labroides pectoralis,FC
Neomyxus leuciscus,FC
Crenimugil crenilabis,IM
Liza melinoptera,FC
Liza vaigiensis,PK
Oedalechilus labiosus,FC
Valamugil engeli,FC
Valamugil seheli,FC
Chaetodontoplus mesoleucus,FC
Pomacanthus navarchus,FC
Pomacanthus xanthometopon,FC
Pomacanthus semicirculatus,FC
Centropyge flavicauda,FC
Centropyge heraldi,IM
Centropyge multifasciata,FC
Genicanthus bellus,IM
Chromis acares,FC
Chromis agilis,PK
Chromis alpha,PK
Chromis amboinensis,PK
Chromis caudalis,PK
Chromis delta,PK
Chromis lepidolepis,FC
Chromis margaritifer,FC
Chromis retrofasciata,FC
Chromis ternatensis,FC
Chromis vanderbilti,FC
Chromis viridis,FC
Chromis weberi,PK
Chromis xanthochira,FC
Chromis xanthura,IM
Lepidozygus tapeinosoma,FC
Cheiloprion labiatus,FC
Abudefduf lorenzi,FC
Abudefduf notatus,IM
Abudefduf septemfasciatus,IM
Abudefduf sexfasciatus,IM
Abudefduf sordidus,IM
Amblyglyphidodon aureus,IM
Amblyglyphidodon leucogaster,IM
Amblyglyphidodon ternatensis,IM
Chrysiptera biocellata,FC
Chrysiptera caeruleolineata,IM
Chrysiptera cyanea,IM
Chrysiptera glauca,IM
Chrysiptera brownriggii,IM
Chrysiptera oxycephala,IM
Chrysiptera rex,FC
Chrysiptera talboti,IM
Chrysiptera traceyi,IM
Chrysiptera unimaculata,IM
Dischistodus melanotus,IM
Dischistodus perspicillatus,PK
Neopomacentrus violascens,PK
Neoglyphidodon melas,HM
Neoglyphidodon nigroris,IM
Plectroglyphidodon dickii,FC
Plectroglyphidodon imparipennis,IM
Plectroglyphidodon johnstonianus,IM
Plectroglyphidodon lacrymatus,IM
Plectroglyphidodon leucozonus,FC
Plectroglyphidodon phoenixensis,FC
Pomacentrus amboinensis,PK
Pomacentrus nagasakiensis,HM
Pomacentrus bankanensis,HM
Pomacentrus brachialis,PK
Pomacentrus burroughi,IM
Pomacentrus coelestis,IS
Pomacentrus chrysurus,IS
Pomacentrus emarginatus,OM
Pomacentrus grammorhynchus,OM
Pomacentrus moluccensis,OM
Pomacentrus nigromanus,OM
Pomacentrus pavo,IS
Pomacentrus philippinus,IS
Pomacentrus reidi,IM
Pomacentrus simsiang,IM
Pomacentrus vaiuli,HD
Pomachromis exilis,IS
Pomachromis guamensis,OM
Sphyraena acutipinnis,OM
Sphyraena forsteri,OM
Sphyraena novaehollandiae,PK
Platax orbicularis,PK
Platax pinnatus,PK
Platax teira,OM
Apogonichthys ocellatus,IM
Apogonichthys perdix,IM
Foa brachygramma,OM
Fowleria punctulata,PK
Fowleria marmorata,IM
Fowleria variegata,IM
Rhabdamia cypselura,IM
Rhabdamia gracilis,HD
Apogon trimaculatus,IM
Apogon melas,IM
Apogon evermanni,HD
Apogon ellioti,IM
Apogon coccineus,IM
Apogon doryssa,FC
Apogon taeniopterus,IM
Apogon exostigma,IM
Apogon fraenatus,IM
Apogon kallopterus,IM
Apogon dispar,OM
Apogon hartzfeldii,OM
Apogon lateralis,OM
Apogon sangiensis,HD
Nectamia bandanensis,HD
Nectamia savayensis,HD
Apogon guamensis,HD
Apogon angustatus,IM
Apogon taeniophorus,FC
Apogon novemfasciatus,IM
Apogon compressus,IM
Zoramia fragilis,IM
Zoramia gilberti,IM
Zoramia leptacantha,IM
Zoramia perlita,IM
Archamia biguttata,IM
Archamia fucata,IM
Archamia zosterophora,IM
Sphaeramia nematoptera,IM
Cheilodipterus isostigmus,IM
Cheilodipterus artus,IM
Cheilodipterus macrodon,IM
Cheilodipterus singapurensis,IM
Siphamia fuscolineata,IM
Siphamia versicolor,IM
Siphamia fistulosa,IM
Gymnapogon philippinus,HD
Gymnapogon urospilotus,IM
Pseudamiops gracilicauda,FC
Kuhlia mugil,IM
Priacanthus hamrur,OM
Hoplolatilus cuniculus,IM
Hoplolatilus fronticinctus,IM
Hoplolatilus starcki,IM
Malacanthus brevirostris,IM
Malacanthus latovittatus,IM
Gazza achlamys,IM
Gerres argyreus,IM
Gerres erythrourus,IM
Gerres oblongus,IM
Pempheris oualensis,IM
Parapriacanthus ransonneti,FC
Kyphosus bigibbus,IM
Kyphosus cinerascens,OM
Kyphosus vaigiensis,FC
Monodactylus argenteus,PK
Parascorpaena mcadamsi,OM
Parascorpaena mossambica,PK
Sebastapistes cyanostigma,IM
Sebastapistes galactacma,IM
Sebastapistes mauritiana,IM
Sebastapistes strongia,IM
Scorpaenodes hirsutus,IM
Scorpaenodes kelloggi,IM
Scorpaenodes minor,FC
Scorpaenodes varipinnis,IM
Scorpaenodes guamensis,IM
Scorpaenopsis macrochir,IM
Sebastapistes fowleri,IM
Scorpaenopsis oxycephala,IM
Rhinopias frondosa,IM
Taenianotus triacanthus,IM
Synanceia verrucosa,IM
Inimicus didactylus,IM
Dendrochirus biocellatus,IM
Dendrochirus zebra,IM
Amblycirrhitus bimacula,IM
Cirrhitichthys oxycephalus,IM
Cirrhitus pinnulatus,IM
Neocirrhites armatus,FC
Oxycirrhites typus,PK
Isocirrhitus sexfasciatus,PK
Paracirrhites arcatus,PK
Cantherhines dumerilii,PK
Epinephelus spilotoceps,IS
Melichthys vidua,IS
Rhinecanthus aculeatus,HD
Rhinecanthus rectangulus,IM
Sargocentron microstoma,PK
Sufflamen chrysopterum,PK
Nemipterus zysron,PK
Pentapodus bifasciatus,PK
Pentapodus vitta,PK
Pentapodus caninus,PK
Pentapodus emeryii,IM
Pentapodus nagasakiensis,IM
Pentapodus paradiseus,IM
Pentapodus porosus,PK
Pentapodus setosus,PK
Pentapodus trivittatus,IM
Scaevius milii,PK
Scolopsis ciliata,PK
Scolopsis lineata,PK
Scolopsis margaritifera,IM
Scolopsis monogramma,IM
Scolopsis temporalis,IM
Scolopsis trilineata,OM
Scolopsis xenochrous,FC
Scolopsis vosmeri,IM
Scolopsis aurata,IM
Scolopsis bilineata,IM
Scolopsis bimaculatus,IM
Scolopsis ghanam,IM
Scolopsis taeniatus,IM
Scolopsis affinis,IM
Zanclus cornutus,IM
Zebrasoma scopas,IM
Paracirrhites forsteri,IM
Paracirrhites hemistictus,IM
Hippocampus histrix,IM
Hippocampus kuda,IM
Bhanotia nuda,IM
Bulbonaricus brauni,FC
Choeroichthys brachysoma,IM
Corythoichthys flavofasciatus,IM
Corythoichthys haematopterus,FC
Corythoichthys intestinalis,IM
Corythoichthys nigripectus,PK
Corythoichthys ocellatus,PK
Corythoichthys polynotatus,OM
Corythoichthys schultzi,OM
Cosmocampus banneri,IM
Cosmocampus darrosanus,OM
Cosmocampus maxweberi,PK
Doryrhamphus excisus excisus,PK
Doryrhamphus janssi,OM
Doryrhamphus negrosensis,IM
Doryrhamphus dactyliophorus,PK
Halicampus dunckeri,PK
Halicampus mataafae,PK
Halicampus nitidus,OM
Micrognathus andersonii,IM
Minyichthys myersi,IM
Phoxocampus diacanthus,IM
Syngnathoides biaculeatus,IM
Trachyrhamphus bicoarctatus,IM
Ambassis kopsii,OM
Mulloidichthys flavolineatus,OM
Mulloidichthys vanicolensis,IM
Mulloidichthys pfluegeri,PK
Parupeneus barberinoides,OM
Parupeneus barberinus,PK
Parupeneus trifasciatus,PK
Parupeneus ciliatus,OM
Parupeneus cyclostomus,OM
Parupeneus heptacanthus,IM
Parupeneus indicus,FC
Parupeneus multifasciatus,IM
Parupeneus pleurostigma,PK
Gerres oyena,PK
Dichistius capensis,IM
Pachymetopon aeneum,PK
Epinephelus rivulatus,IS
Chrysoblephus cristiceps,IS
Chrysoblephus gibbiceps,IS
Diplodus capensis,OM
Epinephelus albomarginatus,OM
Pomadasys kaakan,OM
Halicampus brocki,OM
Acanthurus chronixis,IM
Acanthurus nigricans,IM
Ctenochaetus binotatus,HD
Ctenochaetus hawaiiensis,PK
Ctenochaetus marginatus,PK
Ctenochaetus strigosus,OM
Ctenochaetus tominiensis,OM
Paracanthurus hepatus,OM
Zebrasoma flavescens,IM
Naso annulatus,OM
Naso brachycentron,HD
Naso brevirostris,IM
Naso lopezi,IM
Naso tuberosus,IM
Naso vlamingii,IM
Balistapus undulatus,IM
Balistoides viridescens,IM
Pseudobalistes flavimarginatus,FC
Rhinecanthus verrucosus,PK
Sufflamen bursa,IM
Xanthichthys auromarginatus,HD
Alticus saliens,IM
Exallias brevis,OM
Ecsenius bicolor,PK
Ecsenius opsifrontalis,HD
Ecsenius sellifer,HD
Ecsenius yaeyamaensis,PK
Entomacrodus caudofasciatus,FC
Entomacrodus cymatobiotus,FC
Entomacrodus decussatus,FC
Entomacrodus niuafoouensis,FC
Entomacrodus sealei,IM
Entomacrodus stellifer,FC
Entomacrodus striatus,IM
Entomacrodus thalassinus,IM
Glyptoparus delicatulus,IM
Blenniella chrysospilos,IM
Istiblennius edentulus,IM
Istiblennius lineatus,IM
Blenniella periophthalmus,IM
Litobranchus fowleri,IM
Nannosalarias nativitatis,IM
Paralticus amboinensis,IM
Praealticus natalis,IM
Rhabdoblennius rhabdotrachelus,IM
Rhabdoblennius snowi,IM
Salarias fasciatus,IM
Salarias luctuosus,IM
Stanulus seychellensis,IM
Enchelyurus kraussii,IM
Omox biporos,IM
Parenchelyurus hepburni,IM
Aspidontus dussumieri,PK
Aspidontus taeniatus,PK
Meiacanthus atrodorsalis,FC
Meiacanthus ditrema,FC
Meiacanthus grammistes,FC
Plagiotremus laudandus,PK
Plagiotremus rhinorhynchos,PK
Plagiotremus tapeinosoma,PK
Petroscirtes breviceps,PK
Petroscirtes mitratus,IM
Petroscirtes thepassii,IM
Petroscirtes xestus,IM
Xiphasia matsubarai,IM
Cymolutes lecluse,IM
Plectropomus areolatus,IM
Apogon sealei,IM
Hippocampus capensis,IM
Totoaba macdonaldi,IM
Sicyopterus stimpsoni,IM
Chirocentrus dorab,FC
Xanthichthys caeruleolineatus,IM
Caranx papuensis,IM
Plectorhinchus albovittatus,FC
Plectorhinchus chaetodonoides,IM
Plectorhinchus gaterinoides,OM
Plectorhinchus gibbosus,IM
Plectorhinchus obscurus,PK
Plectorhinchus picus,PK
Epinephelus quernus,IM
Parupeneus rubescens,IM
Gymnothorax javanicus,IM
Apistus carinatus,IM
Centropogon australis,IM
Minous monodactylus,IM
Synanceia horrida,IM
Daector reticulata,IM
Gymnothorax pictus,HM
Cephalopholis argus,OM
Lactoria cornuta,IM
Arothron nigropunctatus,IM
Arothron meleagris,PK
Inimicus filamentosus,PK
Pterois russelii,PK
Chilomycterus schoepfii,PK
Cirrhitus rivulatus,PK
Opistognathus punctatus,PK
Polydactylus sexfilis,PK
Pagrus auratus,OM
Choerodon schoenleinii,PK
Ribeiroclinus eigenmanni,PK
Scarus tricolor,IM
Epinephelus malabaricus,PK
Epinephelus coeruleopunctatus,IM
Aethaloperca rogaa,OM
Cephalopholis aitha,IM
Cephalopholis aurantia,PK
Cephalopholis boenak,PK
Cephalopholis cyanostigma,PK
Cephalopholis formosa,OM
Cephalopholis hemistiktos,OM
Cephalopholis leopardus,HD
Cephalopholis microprion,IM
Cephalopholis miniata,IM
Cephalopholis oligosticta,PK
Cephalopholis polleni,IM
Cephalopholis sexmaculata,PK
Cephalopholis sonnerati,IM
Cephalopholis spiloparaea,IM
Cephalopholis urodeta,OM
Cromileptes altivelis,IM
Dermatolepis striolata,IM
Epinephelus amblycephalus,OM
Epinephelus bontoides,IM
Mesopristes argenteus,OM
Epinephelus coioides,IS
Epinephelus corallicola,IM
Epinephelus fasciatomaculosus,IM
Epinephelus lanceolatus,OM
Epinephelus marginatus,IM
Epinephelus melanostigma,HD
Epinephelus ongus,HD
Epinephelus polyphekadion,HD
Epinephelus quoyanus,HD
Epinephelus undulosus,IM
Gracila albomarginata,IM
Variola albimarginata,IS
Saurida tumbil,PK
Anarchias allardicei,IM
Anarchias cantonensis,IM
Anarchias seychellensis,OM
Echidna leucotaenia,FC
Echidna unicolor,PK
Enchelycore bayeri,PK
Enchelycore bikiniensis,OM
Enchelycore schismatorhynchus,IM
Enchelynassa canina,HD
Gymnothorax buroensis,IM
Gymnothorax enigmaticus,IM
Gymnothorax fimbriatus,IM
Gymnothorax fuscomaculatus,OM
Gymnothorax gracilicauda,OM
Gymnothorax hepaticus,IM
Pseudanthias tuka,OM
Aeoliscus strigatus,IM
Pomacanthus imperator,PK
Myripristis vittata,PK
Myripristis adusta,PK
Sargocentron spiniferum,PK
Chaetodon xanthurus,OM
Amphiprion ocellaris,PK
Centriscus scutatus,IM
Chaetodon aureofasciatus,IM
Chaetodon austriacus,OM
Chaetodon adiergastos,IM
Chaetodon assarius,IM
Abudefduf bengalensis,PK
Amblyeleotris japonica,IM
Amblygobius linki,IM
Amphiprion frenatus,PK
Amphiprion sandaracinos,IM
Apogon endekataenia,PK
Apolemichthys trimaculatus,IM
Arothron stellatus,FC
Chaetodon flavirostris,IM
Chaetodon guentheri,IM
Oplegnathus robinsoni,IM
Acanthopagrus schlegelii schlegelii,OM
Oplegnathus fasciatus,OM
Sebastes schlegelii,OM
Girella punctata,PK
Oplegnathus punctatus,PK
Canthigaster bennetti,IM
Canthigaster compressa,PK
Canthigaster janthinoptera,IM
Canthigaster valentini,IM
Canthigaster leoparda,IM
Centropyge tibicen,OM
Centropyge multispinis,OM
Chaetodon ornatissimus,OM
Chromis analis,IM
Diodon liturosus,IM
Dischistodus chrysopoecilus,IM
Lactoria diaphana,FC
Ostracion cubicus,IM
Ostracion meleagris,IM
Oxymonacanthus longirostris,IM
Paraluteres prionurus,IM
Parapercis clathrata,PK
Parapercis cylindrica,IM
Pomacanthus sexstriatus,IM
Pseudanthias huchtii,IM
Pseudanthias squamipinnis,IM
Pseudanthias pleurotaenia,IM
Pseudanthias randalli,IM
Pygoplites diacanthus,IM
Sargocentron ittodai,IM
Epinephelus septemfasciatus,PK
Valenciennea strigata,PK
Ostracion solorensis,PK
Canthigaster solandri,PK
Gymnothorax richardsonii,PK
Bodianus bilunulatus,PK
Rhynchopelates oxyrhynchus,IM
Neoniphon opercularis,PK
Goniistius zonatus,PK
Thalassoma cupido,PK
Lithognathus aureti,IM
Arothron reticularis,IS
Choerodon jordani,PK
Chromis leucura,HD
Chrysiptera starcki,OM
Chrysiptera tricincta,OM
Diploprion bifasciatum,OM
Cirrhitichthys aprinus,OM
Apogon fasciatus,HD
Chaetodon pelewensis,IM
Dischistodus prosopotaenia,IM
Chelonodon patoca,IM
Thamnaconus modestus,IM
Genicanthus lamarck,IM
Chaetodon plebeius,FC
Halichoeres miniatus,IM
Choerodon monostigma,IM
Nemateleotris decora,IM
Parma polylepis,IM
Pomacentrus lepidogenys,IM
Pomacentrus nigromarginatus,PK
Stethojulis trilineata,IM
Labracoglossa argenteiventris,IM
Sargocentron rubrum,IM
Parupeneus spilurus,IM
