"","x"
"1","Maamendhoo"
"2","Kooddoo"
"3","Dhaandhoo"
"4","Nilandhoo"
"5","Gemanafushi"
"6","Maarehaa"
"7","Kodey"
"8","Mahadhdhoo"
"9","Vodamuloo"
"10","Kuredhdhoo"
"11","Vilingili"
