Reef,Site,Unique_site_transect,Y,X,dataset
Davies,Exposed,2,18.497,14.7425,GBR
Davies,Exposed,3,18.48374,14.74163,GBR
Davies,Sheltered,3,18.48129,14.7385,GBR
Wheeler,Exposed,3,18.4859,14.73276,GBR
John Brewer,Exposed,1,18.38473,14.7311,GBR
John Brewer,Exposed,2,18.38458,14.72562,GBR
John Brewer,Exposed,3,18.38474,14.72391,GBR
John Brewer,Sheltered,1,18.37345,14.721,GBR
John Brewer,Sheltered,2,18.3742,14.7155,GBR
John Brewer,Sheltered,3,18.37438,14.7138,GBR
Trunk,Sheltered,1,18.2189,14.645566,GBR
Trunk,Sheltered,2,18.22354,14.646315,GBR
Trunk,Sheltered,3,18.2252,14.646368,GBR
Trunk,Exposed,1,18.24172,14.649525,GBR
Trunk,Exposed,2,18.2434,14.65143,GBR
Trunk,Exposed,3,18.23445,14.65295,GBR
Rib,Exposed,1,18.29297,14.65246,GBR
Rib,Exposed,2,18.29249,14.652538,GBR
Rib,Exposed,3,18.2918,14.652571,GBR
Rib,Sheltered,1,18.2823,14.652361,GBR
Rib,Sheltered,2,18.28261,14.652452,GBR
Rib,Sheltered,3,18.28289,14.652483,GBR
Huadavoo,Maamendhoo,1,43.007,73.26708,Maldives
Huadavoo,Kooddoo,2,43.803,73.26431,Maldives
Huadavoo,Dhaandhoo,3,37.649,73.27806,Maldives
Huadavoo,Nilandhoo,4,38.199,73.27205,Maldives
Huadavoo,Gemanafushi,5,27.045,73.34389,Maldives
Huadavoo,Maarehaa,6,27.898,73.34162,Maldives
Huadavoo,Kodey,7,29.802,73.33438,Maldives
Huadavoo,Mahadhdhoo,8,35.652,73.30572,Maldives
Huadavoo,Vodamulaa,9,36.389,73.29518,Maldives
Huadavoo,Kuredhdhoo,10,39.502,73.26642,Maldives
Huadavoo,Vilingi,11,45.101,73.26454,Maldives
Mahe,Cousin carbonate,Cousin carbonate,-4.332921,55.658746,Seychelles
Mahe,Cousin granite reef,Cousin granite reef,-4.328438,55.66162,Seychelles
Mahe,Cousin Patch reef,Cousin Patch reef,-4.332388,55.666324,Seychelles
Mahe,Mahe E carbonate,Mahe E carbonate,-4.710589,55.52704,Seychelles
Mahe,Mahe E granitic reef,Mahe E granitic reef,-4.734961,55.528958,Seychelles
Mahe,Mahe E patch reef,Mahe E patch reef,-4.703574,55.528198,Seychelles
Mahe,Mahe NW Carbonate,Mahe NW Carbonate,-4.634994,55.376116,Seychelles
Mahe,Mahe NW granitic reef,Mahe NW granitic reef,-4.562673,55.436906,Seychelles
Mahe,Mahe NW patch reef,Mahe NW patch reef,-4.614482,55.41627,Seychelles
Mahe,Mahe W carbonate,Mahe W carbonate,-4.669121,55.400252,Seychelles
Mahe,Mahe W granitic reef,Mahe W granitic reef,-4.659828,55.360993,Seychelles
Mahe,Mahe W patch reef,Mahe W patch reef,-4.684675,55.434722,Seychelles
Praslin,Praslin NE carbonate,Praslin NE carbonate,-4.315847,55.756687,Seychelles
Praslin,Praslin NE granitic reef,Praslin NE granitic reef,-4.290079,55.707504,Seychelles
Praslin,Praslin NE patch reef,Praslin NE patch reef,-4.303653,55.746546,Seychelles
Praslin,Praslin SW carbonate,Praslin SW carbonate,-4.350873,55.701522,Seychelles
Praslin,Praslin SW granitic reef,Praslin SW granitic reef,-4.313662,55.678717,Seychelles
Praslin,Praslin SW patch reef,Praslin SW patch reef,-4.333943,55.692044,Seychelles
Praslin,Ste Anne carbonate,Ste Anne carbonate,-4.609864,55.496361,Seychelles
Praslin,Ste. Anne granitic reef,Ste. Anne granitic reef,-4.605095,55.513525,Seychelles
Praslin,Ste. Anne patch reef,Ste. Anne patch reef,-4.618086,55.509399,Seychelles
