"","species","FG","chagos","gbr","maldives","seychelles","nregions","biterates"
"1","Acanthurus auranticavus"," Grazer","TRUE","TRUE","TRUE","FALSE",3,"FALSE"
"2","Acanthurus blochii"," Grazer","TRUE","TRUE","FALSE","FALSE",2,"FALSE"
"3","Acanthurus leucocheilus"," Grazer","TRUE","FALSE","FALSE","FALSE",1,"FALSE"
"4","Acanthurus leucosternon"," Grazer","TRUE","FALSE","TRUE","TRUE",3,"FALSE"
"5","Acanthurus lineatus"," Grazer","TRUE","TRUE","TRUE","TRUE",4,"FALSE"
"6","Acanthurus nigricauda"," Grazer","TRUE","TRUE","FALSE","FALSE",2,"FALSE"
"7","Acanthurus nigrofuscus"," Grazer","TRUE","TRUE","TRUE","TRUE",4,"TRUE"
"8","Acanthurus tennenti"," Grazer","TRUE","FALSE","FALSE","FALSE",1,"FALSE"
"9","Acanthurus triostegus"," Grazer","TRUE","TRUE","FALSE","TRUE",3,"FALSE"
"10","Acanthurus tristis"," Grazer","TRUE","TRUE","FALSE","FALSE",2,"FALSE"
"11","Cetoscarus bicolor"," Scraper","TRUE","TRUE","TRUE","TRUE",4,"TRUE"
"12","Chlorurus capistratoides"," Scraper","TRUE","FALSE","FALSE","FALSE",1,"TRUE"
"13","Chlorurus enneacanthus"," Scraper","TRUE","FALSE","TRUE","FALSE",2,"FALSE"
"14","Chlorurus sordidus"," Scraper","TRUE","TRUE","TRUE","TRUE",4,"TRUE"
"15","Chlorurus stronglycephalus"," Scraper","TRUE","FALSE","TRUE","TRUE",3,"FALSE"
"16","Hipposcarus harid"," Scraper","TRUE","FALSE","TRUE","TRUE",3,"TRUE"
"17","Melichthys niger"," Grazer","TRUE","FALSE","TRUE","FALSE",2,"TRUE"
"18","Plectroglyphidodon lacrymatus"," Grazer","TRUE","TRUE","TRUE","TRUE",4,"FALSE"
"19","Plectroglyphidodon phoenixensis"," Grazer","TRUE","FALSE","FALSE","FALSE",1,"FALSE"
"20","Pomacentrus indicus"," Grazer","TRUE","FALSE","TRUE","FALSE",2,"FALSE"
"21","Pomacentrus nagasakiensis"," Grazer","TRUE","TRUE","FALSE","FALSE",2,"FALSE"
"22","Scarus frenatus"," Scraper","TRUE","TRUE","TRUE","TRUE",4,"TRUE"
"23","Scarus caudofasciatus"," Scraper","TRUE","FALSE","TRUE","TRUE",3,"FALSE"
"24","Scarus falcipinnis"," Scraper","TRUE","TRUE","FALSE","TRUE",3,"FALSE"
"25","Scarus globiceps"," Scraper","TRUE","TRUE","TRUE","TRUE",4,"TRUE"
"26","Scarus niger"," Scraper","TRUE","TRUE","TRUE","TRUE",4,"TRUE"
"27","Scarus prasiognathos"," Scraper","TRUE","FALSE","FALSE","TRUE",2,"FALSE"
"28","Scarus psittacus"," Scraper","TRUE","TRUE","FALSE","TRUE",3,"TRUE"
"29","Scarus rubroviolaceus"," Scraper","TRUE","TRUE","TRUE","TRUE",4,"TRUE"
"30","Scarus scaber"," Scraper","TRUE","FALSE","TRUE","TRUE",3,"TRUE"
"31","Scarus tricolor"," Scraper","TRUE","FALSE","TRUE","TRUE",3,"TRUE"
"32","Scarus viridifucatus"," Scraper","TRUE","FALSE","TRUE","TRUE",3,"TRUE"
"33","Stegastes fasciolatus"," Grazer","TRUE","TRUE","TRUE","FALSE",3,"FALSE"
"34","Zebrasoma desjardinii"," Grazer","TRUE","FALSE","TRUE","TRUE",3,"FALSE"
"35","Zebrasoma scopas"," Grazer","TRUE","TRUE","TRUE","TRUE",4,"TRUE"
"36","Scarus capistratoides"," Scraper","TRUE","FALSE","FALSE","FALSE",1,"FALSE"
"37","Scarus ghobban"," Scraper","TRUE","TRUE","TRUE","TRUE",4,"TRUE"
"38","Pomacentrus bankanensis"," Grazer","FALSE","TRUE","FALSE","FALSE",1,"FALSE"
"39","Stegastes apicalis"," Grazer","FALSE","TRUE","FALSE","FALSE",1,"FALSE"
"40","Zebrasoma veliferum"," Grazer","FALSE","TRUE","FALSE","FALSE",1,"TRUE"
"41","Ctenochaetus striatus"," Grazer","FALSE","TRUE","TRUE","TRUE",3,"TRUE"
"42","Centropyge bicolor"," Grazer","FALSE","TRUE","FALSE","FALSE",1,"FALSE"
"43","Siganus corallinus"," Grazer","FALSE","TRUE","FALSE","FALSE",1,"TRUE"
"44","Scarus spinus"," Scraper","FALSE","TRUE","FALSE","FALSE",1,"TRUE"
"45","Scarus rivulatus"," Scraper","FALSE","TRUE","FALSE","FALSE",1,"TRUE"
"46","Chlorurus bleekeri"," Scraper","FALSE","TRUE","FALSE","FALSE",1,"TRUE"
"47","Siganus puellus"," Grazer","FALSE","TRUE","FALSE","FALSE",1,"FALSE"
"48","Scarus oviceps"," Scraper","FALSE","TRUE","FALSE","FALSE",1,"TRUE"
"49","Scarus chameleon"," Scraper","FALSE","TRUE","FALSE","FALSE",1,"TRUE"
"50","Scarus dimidiatus"," Scraper","FALSE","TRUE","FALSE","FALSE",1,"TRUE"
"51","Siganus doliatus"," Grazer","FALSE","TRUE","FALSE","FALSE",1,"TRUE"
"52","Siganus spinus"," Grazer","FALSE","TRUE","FALSE","FALSE",1,"FALSE"
"53","Pomacentrus amboinensis"," Grazer","FALSE","TRUE","FALSE","FALSE",1,"FALSE"
"54","Scarus altipinnis"," Scraper","FALSE","TRUE","FALSE","FALSE",1,"TRUE"
"55","Chlorurus microrhinos"," Scraper","FALSE","TRUE","FALSE","FALSE",1,"TRUE"
"56","Scarus flavipectoralis"," Scraper","FALSE","TRUE","FALSE","FALSE",1,"TRUE"
"57","Dischistodus melanotus"," Grazer","FALSE","TRUE","FALSE","FALSE",1,"FALSE"
"58","Ctenochaetus binotatus"," Grazer","FALSE","TRUE","FALSE","TRUE",2,"FALSE"
"59","Scarus forsteni"," Scraper","FALSE","TRUE","FALSE","FALSE",1,"TRUE"
"60","Centropyge vrolikii"," Grazer","FALSE","TRUE","FALSE","FALSE",1,"FALSE"
"61","Scarus schlegeli"," Scraper","FALSE","TRUE","FALSE","FALSE",1,"TRUE"
"62","Siganus vulpinus"," Grazer","FALSE","TRUE","FALSE","FALSE",1,"FALSE"
"63","Stegastes nigricans"," Grazer","FALSE","TRUE","FALSE","TRUE",2,"FALSE"
"64","Siganus punctatus"," Grazer","FALSE","TRUE","FALSE","FALSE",1,"FALSE"
