"","X.Intercept.","log_biom","site.lfi","log_biom.site.lfi","df","logLik","AICc","delta","weight","r2"
"8",-0.581437101912917,0.692541318075298,-0.316540690211137,0.0838164030917368,7,66.3471787897024,-117.791131772953,0,0.999837861752902,0.821115057211322
"4",-0.542415188593953,0.654237282319379,-0.305794971929407,0,6,56.5046668283641,-100.337333656728,17.453798116225,0.000162138247097605,0.821115057211322
"2",-0.525686657415112,0.522279088019345,0,0,5,27.910769232503,-45.3453479888155,72.4457837841377,1.85578436403414e-16,0.821115057211322
"1",-0.445323419773713,0,0,0,4,-44.6412989420227,97.5975585139667,215.38869028692,1.69382972706388e-47,0.821115057211322
"3",-0.446443617304577,0,0.0741327394638982,0,5,-44.0414384569508,98.5590673900921,216.350199163045,1.04732326498858e-47,0.821115057211322
