"","X.Intercept.","log_biom","site.lfi","log_biom.site.lfi","df","logLik","AICc","delta","weight","r2"
"4",0.0243289725018469,0.727875315767751,-0.0868521431023465,0,6,154.806309170321,-296.935198985803,0,0.747991921147851,0.989474553223905
"8",0.0253609966121551,0.726661546649066,-0.0859082311281887,-0.00192590782507456,7,154.83495301437,-294.759336923048,2.17586206275405,0.252008078852149,0.989474553223905
"2",0.0770541358846577,0.680669496112156,0,0,5,109.271954931549,-208.063909863098,88.871289122705,3.76479795897828e-20,0.989474553223905
"3",0.414475673594572,0,0.183194290417832,0,5,-107.855044019044,226.190088038088,523.125287023891,1.89969621720024e-114,0.989474553223905
"1",0.361891903040803,0,0,0,4,-115.638841101944,239.595142521348,536.53034150715,2.33245654900508e-117,0.989474553223905
