"","Region","Reef","Genus","Species","Phase","TL","Bites","min","sec","time","Bite.rate","dataset","sp","UVC"
"47","KAUST",NA,"Chlorurus","sordidus","IP",14,86,3,5,"03:05",27.89,"redsea","Chlorurus sordidus","TRUE"
"48","KAUST",NA,"Chlorurus","sordidus","TP",22,32,4,29,"04:29",7.14,"redsea","Chlorurus sordidus","TRUE"
"49","KAUST",NA,"Chlorurus","sordidus","IP",15,82,3,19,"03:19",24.72,"redsea","Chlorurus sordidus","TRUE"
"50","KAUST",NA,"Chlorurus","sordidus","IP",14,75,3,38,"03:38",20.64,"redsea","Chlorurus sordidus","TRUE"
"51","KAUST",NA,"Chlorurus","sordidus","IP",18,61,3,3,"03:03",20,"redsea","Chlorurus sordidus","TRUE"
"52","KAUST",NA,"Chlorurus","sordidus","TP",23,43,3,10,"03:10",13.58,"redsea","Chlorurus sordidus","TRUE"
"53","KAUST",NA,"Chlorurus","sordidus","IP",18,52,3,5,"03:05",16.86,"redsea","Chlorurus sordidus","TRUE"
"54","KAUST",NA,"Chlorurus","sordidus","TP",19,22,4,9,"04:09",5.3,"redsea","Chlorurus sordidus","TRUE"
"55","KAUST",NA,"Chlorurus","sordidus","IP",18,64,3,2,"03:02",21.1,"redsea","Chlorurus sordidus","TRUE"
"56","KAUST",NA,"Chlorurus","sordidus","TP",21,43,3,3,"03:03",14.1,"redsea","Chlorurus sordidus","TRUE"
"57","KAUST",NA,"Chlorurus","sordidus","TP",22,51,3,2,"03:02",16.81,"redsea","Chlorurus sordidus","TRUE"
"58","KAUST",NA,"Chlorurus","sordidus","TP",20,46,3,4,"03:04",15,"redsea","Chlorurus sordidus","TRUE"
"59","KAUST",NA,"Chlorurus","sordidus","TP",24,22,3,46,"03:46",5.84,"redsea","Chlorurus sordidus","TRUE"
"60","KAUST",NA,"Chlorurus","sordidus","TP",21,32,3,1,"03:01",10.61,"redsea","Chlorurus sordidus","TRUE"
"61","KAUST",NA,"Chlorurus","sordidus","IP",20,54,3,0,"03:00",18,"redsea","Chlorurus sordidus","TRUE"
"62","KAUST",NA,"Chlorurus","sordidus","IP",18,52,3,8,"03:08",16.6,"redsea","Chlorurus sordidus","TRUE"
"63","KAUST",NA,"Chlorurus","sordidus","TP",20,53,3,24,"03:24",15.59,"redsea","Chlorurus sordidus","TRUE"
"64","KAUST",NA,"Hipposcarus","harid","IP",16,37,3,48,"03:48",9.74,"redsea","Hipposcarus harid","TRUE"
"65","KAUST",NA,"Hipposcarus","harid","IP",23,18,3,17,"03:17",5.48,"redsea","Hipposcarus harid","TRUE"
"66","KAUST",NA,"Hipposcarus","harid","IP",22,34,3,7,"03:07",10.91,"redsea","Hipposcarus harid","TRUE"
"67","KAUST",NA,"Hipposcarus","harid","TP",29,15,3,1,"03:01",4.97,"redsea","Hipposcarus harid","TRUE"
"68","KAUST",NA,"Hipposcarus","harid","IP",17,48,3,19,"03:19",14.47,"redsea","Hipposcarus harid","TRUE"
"69","KAUST",NA,"Hipposcarus","harid","IP",23,12,3,1,"03:01",3.98,"redsea","Hipposcarus harid","TRUE"
"70","KAUST",NA,"Hipposcarus","harid","IP",20,24,3,9,"03:09",7.62,"redsea","Hipposcarus harid","TRUE"
"71","KAUST",NA,"Hipposcarus","harid","IP",20,38,3,1,"03:01",12.6,"redsea","Hipposcarus harid","TRUE"
"72","KAUST",NA,"Hipposcarus","harid","IP",22,35,3,4,"03:04",11.41,"redsea","Hipposcarus harid","TRUE"
"73","KAUST",NA,"Hipposcarus","harid","IP",16,43,3,7,"03:07",13.8,"redsea","Hipposcarus harid","TRUE"
"74","KAUST",NA,"Hipposcarus","harid","IP",14,52,3,27,"03:27",15.07,"redsea","Hipposcarus harid","TRUE"
"75","KAUST",NA,"Hipposcarus","harid","IP",23,27,3,5,"03:05",8.76,"redsea","Hipposcarus harid","TRUE"
"76","KAUST",NA,"Hipposcarus","harid","IP",17,36,3,4,"03:04",11.74,"redsea","Hipposcarus harid","TRUE"
"77","KAUST",NA,"Hipposcarus","harid","IP",19,45,3,3,"03:03",14.75,"redsea","Hipposcarus harid","TRUE"
"78","KAUST",NA,"Hipposcarus","harid","IP",23,18,3,4,"03:04",5.87,"redsea","Hipposcarus harid","TRUE"
"79","KAUST",NA,"Hipposcarus","harid","IP",21,26,3,1,"03:01",8.62,"redsea","Hipposcarus harid","TRUE"
"80","KAUST",NA,"Hipposcarus","harid","TP",34,18,3,58,"03:58",4.54,"redsea","Hipposcarus harid","TRUE"
"81","KAUST",NA,"Hipposcarus","harid","TP",21,28,3,3,"03:03",9.18,"redsea","Hipposcarus harid","TRUE"
"82","KAUST",NA,"Hipposcarus","harid","IP",22,17,3,5,"03:05",5.51,"redsea","Hipposcarus harid","TRUE"
"83","KAUST",NA,"Hipposcarus","harid","IP",14,34,3,9,"03:09",10.79,"redsea","Hipposcarus harid","TRUE"
"84","KAUST",NA,"Hipposcarus","harid","TP",30,15,3,6,"03:06",4.84,"redsea","Hipposcarus harid","TRUE"
"85","KAUST",NA,"Hipposcarus","harid","TP",31,11,3,13,"03:13",3.42,"redsea","Hipposcarus harid","TRUE"
"86","KAUST",NA,"Hipposcarus","harid","IP",22,31,3,3,"03:03",10.16,"redsea","Hipposcarus harid","TRUE"
"87","KAUST",NA,"Hipposcarus","harid","IP",18,41,3,2,"03:02",13.52,"redsea","Hipposcarus harid","TRUE"
"88","KAUST",NA,"Hipposcarus","harid","IP",21,43,3,6,"03:06",13.87,"redsea","Hipposcarus harid","TRUE"
"89","KAUST",NA,"Hipposcarus","harid","IP",26,25,3,2,"03:02",8.24,"redsea","Hipposcarus harid","TRUE"
"90","KAUST",NA,"Hipposcarus","harid","IP",21,23,3,41,"03:41",6.24,"redsea","Hipposcarus harid","TRUE"
"91","KAUST",NA,"Hipposcarus","harid","IP",25,34,3,41,"03:41",9.23,"redsea","Hipposcarus harid","TRUE"
"92","KAUST",NA,"Hipposcarus","harid","IP",23,19,3,4,"03:04",6.2,"redsea","Hipposcarus harid","TRUE"
"93","KAUST",NA,"Hipposcarus","harid","IP",28,29,3,0,"03:00",9.67,"redsea","Hipposcarus harid","TRUE"
"94","Al lith",NA,"Scarus","frenatus","TP",23,151,6,4,"06:04",24.89,"redsea","Scarus frenatus","TRUE"
"95","Al lith",NA,"Scarus","frenatus","IP",20,134,4,48,"04:48",27.92,"redsea","Scarus frenatus","TRUE"
"96","Al lith",NA,"Scarus","frenatus","IP",17,162,5,57,"05:57",27.23,"redsea","Scarus frenatus","TRUE"
"97","Al lith",NA,"Scarus","frenatus","TP",23,126,4,58,"04:58",25.37,"redsea","Scarus frenatus","TRUE"
"98","Al lith",NA,"Scarus","frenatus","IP",16,134,4,3,"04:03",33.09,"redsea","Scarus frenatus","TRUE"
"99","Al lith",NA,"Scarus","frenatus","TP",24,71,4,23,"04:23",16.2,"redsea","Scarus frenatus","TRUE"
"100","Al lith",NA,"Scarus","frenatus","IP",23,117,4,35,"04:35",25.53,"redsea","Scarus frenatus","TRUE"
"101","Al lith",NA,"Scarus","frenatus","IP",21,93,4,52,"04:52",19.11,"redsea","Scarus frenatus","TRUE"
"102","Al lith",NA,"Scarus","frenatus","IP",15,106,4,6,"04:06",25.85,"redsea","Scarus frenatus","TRUE"
"103","Al lith",NA,"Scarus","frenatus","TP",21,128,4,25,"04:25",28.98,"redsea","Scarus frenatus","TRUE"
"104","KAUST",NA,"Scarus","frenatus","IP",14,87,3,21,"03:21",25.97,"redsea","Scarus frenatus","TRUE"
"105","KAUST",NA,"Scarus","frenatus","IP",15,96,3,32,"03:32",27.17,"redsea","Scarus frenatus","TRUE"
"106","KAUST",NA,"Scarus","frenatus","IP",17,90,3,2,"03:02",29.67,"redsea","Scarus frenatus","TRUE"
"107","KAUST",NA,"Scarus","frenatus","IP",16,132,4,7,"04:07",32.06,"redsea","Scarus frenatus","TRUE"
"108","KAUST",NA,"Scarus","frenatus","TP",27,26,3,28,"03:28",7.5,"redsea","Scarus frenatus","TRUE"
"109","KAUST",NA,"Scarus","frenatus","IP",19,87,3,34,"03:34",24.39,"redsea","Scarus frenatus","TRUE"
"110","KAUST",NA,"Scarus","frenatus","IP",16,73,3,0,"03:00",24.33,"redsea","Scarus frenatus","TRUE"
"111","KAUST",NA,"Scarus","frenatus","TP",25,72,4,6,"04:06",17.56,"redsea","Scarus frenatus","TRUE"
"112","KAUST",NA,"Scarus","frenatus","TP",25,33,3,5,"03:05",10.7,"redsea","Scarus frenatus","TRUE"
"113","KAUST",NA,"Scarus","frenatus","IP",17,74,3,0,"03:00",24.67,"redsea","Scarus frenatus","TRUE"
"114","KAUST",NA,"Scarus","frenatus","IP",24,82,3,3,"03:03",26.89,"redsea","Scarus frenatus","TRUE"
"115","KAUST",NA,"Scarus","frenatus","IP",23,78,3,14,"03:14",24.12,"redsea","Scarus frenatus","TRUE"
"116","KAUST",NA,"Scarus","frenatus","IP",15,68,3,0,"03:00",22.67,"redsea","Scarus frenatus","TRUE"
