"","Region","Reef","Genus","Species","Phase","TL","Bites","min","sec","time","Bite.rate","dataset","sp","UVC"
"216","Aceh","P Aceh","Chlorurus","capistratoides","",23,51,3,3,"00:03:03",16.72131148,"indonesia","Chlorurus capistratoides","TRUE"
"217","Aceh","P Aceh","Chlorurus","capistratoides","",20,49,3,0,"00:03:00",16.33333333,"indonesia","Chlorurus capistratoides","TRUE"
"218","Aceh","P Aceh","Chlorurus","capistratoides","",25,37,3,11,"00:03:11",11.62303665,"indonesia","Chlorurus capistratoides","TRUE"
"219","Aceh","P Aceh","Chlorurus","capistratoides","",22,43,3,20,"00:03:20",12.9,"indonesia","Chlorurus capistratoides","TRUE"
"220","Aceh","P Weh","Chlorurus","capistratoides","",22,35,3,1,"00:03:01",11.60220994,"indonesia","Chlorurus capistratoides","TRUE"
"221","Aceh","P Weh","Chlorurus","capistratoides","",27,32,3,4,"00:03:04",10.43478261,"indonesia","Chlorurus capistratoides","TRUE"
"222","Aceh","P Weh","Chlorurus","capistratoides","",14,107,3,4,"00:03:04",34.89130435,"indonesia","Chlorurus capistratoides","TRUE"
"223","Aceh","P Weh","Chlorurus","capistratoides","",19,54,3,6,"00:03:06",17.41935484,"indonesia","Chlorurus capistratoides","TRUE"
"224","Aceh","P Weh","Chlorurus","capistratoides","",24,33,3,5,"00:03:05",10.7027027,"indonesia","Chlorurus capistratoides","TRUE"
"225","Aceh","P Weh","Chlorurus","sordidus","TP",20,38,4,2,"00:04:02",9.421487603,"indonesia","Chlorurus sordidus","TRUE"
"226","Aceh","P Weh","Chlorurus","sordidus","TP",22,46,4,6,"00:04:06",11.2195122,"indonesia","Chlorurus sordidus","TRUE"
"227","Aceh","P Weh","Chlorurus","sordidus","TP",22,52,3,13,"00:03:13",16.16580311,"indonesia","Chlorurus sordidus","TRUE"
"228","Aceh","P Weh","Chlorurus","sordidus","TP",22,34,3,12,"00:03:12",10.625,"indonesia","Chlorurus sordidus","TRUE"
"229","Aceh","P Weh","Chlorurus","sordidus","TP",21,42,3,5,"00:03:05",13.62162162,"indonesia","Chlorurus sordidus","TRUE"
"230","Aceh","P Weh","Chlorurus","sordidus","IP",12,88,3,2,"00:03:02",29.01098901,"indonesia","Chlorurus sordidus","TRUE"
"231","Aceh","P Weh","Chlorurus","sordidus","IP",13,86,3,11,"00:03:11",27.01570681,"indonesia","Chlorurus sordidus","TRUE"
"232","Aceh","P Weh","Chlorurus","sordidus","IP",13,112,3,7,"00:03:07",35.93582888,"indonesia","Chlorurus sordidus","TRUE"
"233","Aceh","P Weh","Chlorurus","sordidus","IP",16,63,3,6,"00:03:06",20.32258065,"indonesia","Chlorurus sordidus","TRUE"
"234","Aceh","P Weh","Chlorurus","sordidus","TP",22,37,3,10,"00:03:10",11.68421053,"indonesia","Chlorurus sordidus","TRUE"
"235","Aceh","P Weh","Chlorurus","sordidus","",25,37,3,7,"00:03:07",11.87165775,"indonesia","Chlorurus sordidus","TRUE"
"236","Aceh","P Weh","Chlorurus","sordidus","",10,114,3,12,"00:03:12",35.625,"indonesia","Chlorurus sordidus","TRUE"
"237","Aceh","P Weh","Chlorurus","sordidus","",25,33,3,3,"00:03:03",10.81967213,"indonesia","Chlorurus sordidus","TRUE"
"238","Aceh","P Weh","Chlorurus","sordidus","",14,82,3,1,"00:03:01",27.18232044,"indonesia","Chlorurus sordidus","TRUE"
"239","Aceh","P Weh","Chlorurus","sordidus","",20,41,3,4,"00:03:04",13.36956522,"indonesia","Chlorurus sordidus","TRUE"
"240","Aceh","P Weh","Chlorurus","sordidus","",20,38,3,9,"00:03:09",12.06349206,"indonesia","Chlorurus sordidus","TRUE"
"241","Aceh","P Weh","Chlorurus","sordidus","",23,39,3,5,"00:03:05",12.64864865,"indonesia","Chlorurus sordidus","TRUE"
"242","Aceh","P Weh","Chlorurus","sordidus","",21,29,3,0,"00:03:00",9.666666667,"indonesia","Chlorurus sordidus","TRUE"
"243","Aceh","P Weh","Chlorurus","sordidus","",24,33,3,1,"00:03:01",10.93922652,"indonesia","Chlorurus sordidus","TRUE"
"244","Aceh","P Aceh","Chlorurus","sordidus","",20,42,3,1,"00:03:01",13.92265193,"indonesia","Chlorurus sordidus","TRUE"
"245","Aceh","P Aceh","Chlorurus","sordidus","",16,51,3,4,"00:03:04",16.63043478,"indonesia","Chlorurus sordidus","TRUE"
"246","Aceh","P Aceh","Chlorurus","sordidus","",19,53,3,23,"00:03:23",15.66502463,"indonesia","Chlorurus sordidus","TRUE"
"247","Aceh","P Aceh","Chlorurus","sordidus","",22,38,3,6,"00:03:06",12.25806452,"indonesia","Chlorurus sordidus","TRUE"
"248","Aceh","P Aceh","Chlorurus","sordidus","",17,61,3,1,"00:03:01",20.22099448,"indonesia","Chlorurus sordidus","TRUE"
"249","Aceh","P Aceh","Chlorurus","sordidus","",21,28,3,0,"00:03:00",9.333333333,"indonesia","Chlorurus sordidus","TRUE"
"250","Aceh","P Aceh","Chlorurus","sordidus","",18,44,3,3,"00:03:03",14.42622951,"indonesia","Chlorurus sordidus","TRUE"
"251","Aceh","P Weh","Chlorurus","sordidus","",23,48,3,9,"00:03:09",15.23809524,"indonesia","Chlorurus sordidus","TRUE"
"252","Aceh","P Weh","Chlorurus","sordidus","",17,78,3,13,"00:03:13",24.24870466,"indonesia","Chlorurus sordidus","TRUE"
"253","Aceh","P Weh","Chlorurus","sordidus","",24,43,3,9,"00:03:09",13.65079365,"indonesia","Chlorurus sordidus","TRUE"
"254","Aceh","P Weh","Chlorurus","sordidus","",26,33,3,34,"00:03:34",9.252336449,"indonesia","Chlorurus sordidus","TRUE"
"255","Aceh","P Weh","Chlorurus","strongylocephalus","IP",23,22,4,41,"00:04:41",4.697508897,"indonesia","Chlorurus strongylocephalus","TRUE"
"256","Aceh","P Aceh","Chlorurus","strongylocephalus","IP",18,31,4,42,"00:04:42",6.595744681,"indonesia","Chlorurus strongylocephalus","TRUE"
"257","Aceh","P Weh","Chlorurus","strongylocephalus","TP",36,23,3,26,"00:03:26",6.699029126,"indonesia","Chlorurus strongylocephalus","TRUE"
"258","Aceh","P Weh","Chlorurus","strongylocephalus","TP",38,18,3,1,"00:03:01",5.966850829,"indonesia","Chlorurus strongylocephalus","TRUE"
"259","Aceh","P Weh","Chlorurus","strongylocephalus","IP",12,59,3,6,"00:03:06",19.03225806,"indonesia","Chlorurus strongylocephalus","TRUE"
"260","Aceh","P Weh","Chlorurus","strongylocephalus","IP",22,31,3,12,"00:03:12",9.6875,"indonesia","Chlorurus strongylocephalus","TRUE"
"261","Aceh","P Weh","Chlorurus","strongylocephalus","IP",18,32,3,0,"00:03:00",10.66666667,"indonesia","Chlorurus strongylocephalus","TRUE"
"262","Aceh","P Weh","Chlorurus","strongylocephalus","TP",36,14,3,7,"00:03:07",4.49197861,"indonesia","Chlorurus strongylocephalus","TRUE"
"263","Aceh","P Weh","Chlorurus","strongylocephalus","IP",29,22,3,38,"00:03:38",6.055045872,"indonesia","Chlorurus strongylocephalus","TRUE"
"264","Aceh","P Weh","Chlorurus","strongylocephalus","IP",31,14,3,2,"00:03:02",4.615384615,"indonesia","Chlorurus strongylocephalus","TRUE"
"265","Aceh","P Weh","Chlorurus","strongylocephalus","",43,12,3,13,"00:03:13",3.730569948,"indonesia","Chlorurus strongylocephalus","TRUE"
"266","Aceh","P Weh","Chlorurus","strongylocephalus","",33,28,3,27,"00:03:27",8.115942029,"indonesia","Chlorurus strongylocephalus","TRUE"
"267","Aceh","P Weh","Chlorurus","strongylocephalus","",32,29,3,3,"00:03:03",9.508196721,"indonesia","Chlorurus strongylocephalus","TRUE"
"268","Aceh","P Weh","Chlorurus","strongylocephalus","",30,34,3,18,"00:03:18",10.3030303,"indonesia","Chlorurus strongylocephalus","TRUE"
"269","Aceh","P Weh","Chlorurus","strongylocephalus","",15,51,3,2,"00:03:02",16.81318681,"indonesia","Chlorurus strongylocephalus","TRUE"
"270","Aceh","P Weh","Chlorurus","strongylocephalus","",40,13,3,0,"00:03:00",4.333333333,"indonesia","Chlorurus strongylocephalus","TRUE"
"271","Aceh","P Weh","Chlorurus","strongylocephalus","",38,17,3,0,"00:03:00",5.666666667,"indonesia","Chlorurus strongylocephalus","TRUE"
"272","Aceh","P Weh","Chlorurus","strongylocephalus","",30,23,3,3,"00:03:03",7.540983607,"indonesia","Chlorurus strongylocephalus","TRUE"
"273","Aceh","P Weh","Chlorurus","strongylocephalus","",33,19,3,12,"00:03:12",5.9375,"indonesia","Chlorurus strongylocephalus","TRUE"
"274","Aceh","P Weh","Chlorurus","strongylocephalus","",15,52,4,4,"00:04:04",12.78688525,"indonesia","Chlorurus strongylocephalus","TRUE"
"275","Aceh","P Weh","Chlorurus","strongylocephalus","",19,36,3,1,"00:03:01",11.93370166,"indonesia","Chlorurus strongylocephalus","TRUE"
"276","Aceh","P Weh","Chlorurus","strongylocephalus","",28,25,3,1,"00:03:01",8.287292818,"indonesia","Chlorurus strongylocephalus","TRUE"
"277","Aceh","P Weh","Chlorurus","strongylocephalus","",22,31,3,0,"00:03:00",10.33333333,"indonesia","Chlorurus strongylocephalus","TRUE"
"278","Aceh","P Weh","Chlorurus","strongylocephalus","",29,13,3,7,"00:03:07",4.171122995,"indonesia","Chlorurus strongylocephalus","TRUE"
"279","Aceh","P Weh","Chlorurus","strongylocephalus","",33,16,3,2,"00:03:02",5.274725275,"indonesia","Chlorurus strongylocephalus","TRUE"
"280","Aceh","P Weh","Chlorurus","strongylocephalus","",31,17,3,11,"00:03:11",5.340314136,"indonesia","Chlorurus strongylocephalus","TRUE"
"281","Aceh","P Weh","Chlorurus","strongylocephalus","",30,22,3,8,"00:03:08",7.021276596,"indonesia","Chlorurus strongylocephalus","TRUE"
"282","Aceh","P Aceh","Chlorurus","strongylocephalus","",26,29,4,6,"00:04:06",7.073170732,"indonesia","Chlorurus strongylocephalus","TRUE"
"283","Aceh","P Aceh","Chlorurus","strongylocephalus","",18,47,4,2,"00:04:02",11.65289256,"indonesia","Chlorurus strongylocephalus","TRUE"
"284","Aceh","P Aceh","Chlorurus","strongylocephalus","",25,30,3,7,"00:03:07",9.625668449,"indonesia","Chlorurus strongylocephalus","TRUE"
"285","Aceh","P Aceh","Chlorurus","strongylocephalus","",27,33,3,7,"00:03:07",10.58823529,"indonesia","Chlorurus strongylocephalus","TRUE"
"286","Aceh","P Aceh","Chlorurus","strongylocephalus","",42,17,3,1,"00:03:01",5.635359116,"indonesia","Chlorurus strongylocephalus","TRUE"
"287","Aceh","P Weh","Scaris","frenatus","IP",11,97,3,28,"00:03:28",27.98076923,"indonesia","Scaris frenatus","TRUE"
"288","Aceh","P Weh","Scaris","frenatus","IP",15,78,3,6,"00:03:06",25.16129032,"indonesia","Scaris frenatus","TRUE"
"289","Aceh","P Weh","Scaris","frenatus","IP",17,96,3,53,"00:03:53",24.72103004,"indonesia","Scaris frenatus","TRUE"
"290","Aceh","P Weh","Scaris","frenatus","IP",18,56,3,16,"00:03:16",17.14285714,"indonesia","Scaris frenatus","TRUE"
"291","Aceh","P Weh","Scaris","frenatus","TP",25,62,4,39,"00:04:39",13.33333333,"indonesia","Scaris frenatus","TRUE"
"292","Aceh","P Weh","Scaris","frenatus","TP",21,92,3,36,"00:03:36",25.55555556,"indonesia","Scaris frenatus","TRUE"
"293","Aceh","P Weh","Scaris","frenatus","TP",24,73,3,10,"00:03:10",23.05263158,"indonesia","Scaris frenatus","TRUE"
"294","Aceh","P Weh","Scaris","frenatus","IP",15,136,3,2,"00:03:02",44.83516484,"indonesia","Scaris frenatus","TRUE"
"295","Aceh","P Weh","Scaris","frenatus","IP",13,111,3,18,"00:03:18",33.63636364,"indonesia","Scaris frenatus","TRUE"
"296","Aceh","P Weh","Scaris","frenatus","TP",27,58,3,1,"00:03:01",19.22651934,"indonesia","Scaris frenatus","TRUE"
"297","Aceh","P Weh","Scaris","frenatus","TP",25,69,3,2,"00:03:02",22.74725275,"indonesia","Scaris frenatus","TRUE"
"298","Aceh","P Weh","Scaris","frenatus","IP",21,67,3,4,"00:03:04",21.84782609,"indonesia","Scaris frenatus","TRUE"
"299","Aceh","P Weh","Scaris","frenatus","IP",15,110,3,1,"00:03:01",36.4640884,"indonesia","Scaris frenatus","TRUE"
"300","Aceh","P Weh","Scaris","frenatus","TP",26,77,4,2,"00:04:02",19.09090909,"indonesia","Scaris frenatus","TRUE"
"301","Aceh","P Weh","Scaris","frenatus","IP",12,117,3,9,"00:03:09",37.14285714,"indonesia","Scaris frenatus","TRUE"
"302","Aceh","P Weh","Scaris","frenatus","IP",17,99,3,3,"00:03:03",32.45901639,"indonesia","Scaris frenatus","TRUE"
"303","Aceh","P Weh","Scaris","frenatus","IP",19,71,3,42,"00:03:42",19.18918919,"indonesia","Scaris frenatus","TRUE"
"304","Aceh","P Weh","Scaris","frenatus","TP",26,52,3,7,"00:03:07",16.68449198,"indonesia","Scaris frenatus","TRUE"
"305","Aceh","P Weh","Scaris","frenatus","IP",16,110,3,1,"00:03:01",36.4640884,"indonesia","Scaris frenatus","TRUE"
"306","Aceh","P Weh","Scaris","frenatus","",10,137,3,41,"00:03:41",37.19457014,"indonesia","Scaris frenatus","TRUE"
"307","Aceh","P Weh","Scaris","frenatus","",22,61,3,10,"00:03:10",19.26315789,"indonesia","Scaris frenatus","TRUE"
"308","Aceh","P Weh","Scaris","frenatus","",17,94,3,3,"00:03:03",30.81967213,"indonesia","Scaris frenatus","TRUE"
"309","Aceh","P Weh","Scaris","frenatus","",19,53,3,2,"00:03:02",17.47252747,"indonesia","Scaris frenatus","TRUE"
"310","Aceh","P Weh","Scaris","frenatus","",24,61,3,14,"00:03:14",18.86597938,"indonesia","Scaris frenatus","TRUE"
"311","Aceh","P Weh","Scaris","frenatus","",23,67,3,0,"00:03:00",22.33333333,"indonesia","Scaris frenatus","TRUE"
"312","Aceh","P Weh","Scaris","frenatus","",24,52,3,1,"00:03:01",17.23756906,"indonesia","Scaris frenatus","TRUE"
"313","Aceh","P Weh","Scaris","frenatus","",20,69,4,5,"00:04:05",16.89795918,"indonesia","Scaris frenatus","TRUE"
"314","Aceh","P Weh","Scaris","frenatus","",15,98,3,36,"00:03:36",27.22222222,"indonesia","Scaris frenatus","TRUE"
"315","Aceh","P Weh","Scaris","frenatus","",23,70,3,51,"00:03:51",18.18181818,"indonesia","Scaris frenatus","TRUE"
"316","Aceh","P Weh","Scaris","frenatus","",27,49,3,29,"00:03:29",14.06698565,"indonesia","Scaris frenatus","TRUE"
"317","Aceh","P Weh","Scaris","frenatus","",24,34,3,12,"00:03:12",10.625,"indonesia","Scaris frenatus","TRUE"
"318","Aceh","P Weh","Scaris","frenatus","",16,71,3,1,"00:03:01",23.5359116,"indonesia","Scaris frenatus","TRUE"
"319","Aceh","P Aceh","Melichthys","niger","IP",21,65,3,1,"00:03:01",21.54696133,"indonesia","Melichthys niger","TRUE"
"320","Aceh","P Weh","Melichthys","niger","",16,146,3,39,"00:03:39",40,"indonesia","Melichthys niger","TRUE"
"321","Aceh","P Weh","Melichthys","niger","",25,76,3,11,"00:03:11",23.87434555,"indonesia","Melichthys niger","TRUE"
"322","Aceh","P Weh","Scarus","prasiognathus","IP",17,117,3,4,"00:03:04",38.15217391,"indonesia","Scarus prasiognathus","TRUE"
"323","Aceh","P Weh","Scarus","prasiognathus","TP",27,139,3,58,"00:03:58",35.04201681,"indonesia","Scarus prasiognathus","TRUE"
"324","Aceh","P Weh","Scarus","prasiognathus","IP",25,112,3,0,"00:03:00",37.33333333,"indonesia","Scarus prasiognathus","TRUE"
"325","Aceh","P Weh","Scarus","prasiognathus","IP",24,153,3,37,"00:03:37",42.30414747,"indonesia","Scarus prasiognathus","TRUE"
"326","Aceh","P Weh","Scarus","prasiognathus","TP",32,94,3,14,"00:03:14",29.07216495,"indonesia","Scarus prasiognathus","TRUE"
"327","Aceh","P Weh","Scarus","prasiognathus","IP",21,112,3,36,"00:03:36",31.11111111,"indonesia","Scarus prasiognathus","TRUE"
"328","Aceh","P Weh","Scarus","prasiognathus","IP",19,111,3,3,"00:03:03",36.39344262,"indonesia","Scarus prasiognathus","TRUE"
"329","Aceh","P Weh","Scarus","prasiognathus","TP",31,81,3,4,"00:03:04",26.41304348,"indonesia","Scarus prasiognathus","TRUE"
"330","Aceh","P Weh","Scarus","prasiognathus","IP",13,97,3,0,"00:03:00",32.33333333,"indonesia","Scarus prasiognathus","TRUE"
"331","Aceh","P Weh","Scarus","prasiognathus","IP",20,113,3,14,"00:03:14",34.94845361,"indonesia","Scarus prasiognathus","TRUE"
"332","Aceh","P Weh","Scarus","prasiognathus","IP",22,99,3,2,"00:03:02",32.63736264,"indonesia","Scarus prasiognathus","TRUE"
"333","Aceh","P Weh","Scarus","prasiognathus","IP",22,119,3,11,"00:03:11",37.38219895,"indonesia","Scarus prasiognathus","TRUE"
"334","Aceh","P Weh","Scarus","prasiognathus","IP",25,108,3,0,"00:03:00",36,"indonesia","Scarus prasiognathus","TRUE"
"335","Aceh","P Weh","Scarus","prasiognathus","",14,137,3,43,"00:03:43",36.86098655,"indonesia","Scarus prasiognathus","TRUE"
"336","Aceh","P Weh","Scarus","prasiognathus","",33,87,3,11,"00:03:11",27.32984293,"indonesia","Scarus prasiognathus","TRUE"
"337","Aceh","P Weh","Scarus","prasiognathus","",32,100,3,20,"00:03:20",30,"indonesia","Scarus prasiognathus","TRUE"
"338","Aceh","P Weh","Scarus","prasiognathus","",33,91,3,4,"00:03:04",29.67391304,"indonesia","Scarus prasiognathus","TRUE"
"339","Aceh","P Weh","Scarus","prasiognathus","",25,88,3,6,"00:03:06",28.38709677,"indonesia","Scarus prasiognathus","TRUE"
"340","Aceh","P Weh","Scarus","prasiognathus","",27,103,3,1,"00:03:01",34.14364641,"indonesia","Scarus prasiognathus","TRUE"
"341","Aceh","P Weh","Scarus","prasiognathus","",30,77,3,0,"00:03:00",25.66666667,"indonesia","Scarus prasiognathus","TRUE"
"342","Aceh","P Weh","Scarus","prasiognathus","",22,104,3,37,"00:03:37",28.75576037,"indonesia","Scarus prasiognathus","TRUE"
"343","Aceh","P Weh","Scarus","prasiognathus","",21,111,3,5,"00:03:05",36,"indonesia","Scarus prasiognathus","TRUE"
"344","Aceh","P Weh","Scarus","prasiognathus","",29,94,3,2,"00:03:02",30.98901099,"indonesia","Scarus prasiognathus","TRUE"
"345","Aceh","P Weh","Scarus","prasiognathus","",26,103,3,10,"00:03:10",32.52631579,"indonesia","Scarus prasiognathus","TRUE"
"346","Aceh","P Weh","Scarus","prasiognathus","",31,68,3,14,"00:03:14",21.03092784,"indonesia","Scarus prasiognathus","TRUE"
"347","Aceh","P Aceh","Scarus","prasiognathus","",20,125,3,51,"00:03:51",32.46753247,"indonesia","Scarus prasiognathus","TRUE"
"348","Aceh","P Aceh","Scarus","prasiognathus","",27,88,3,8,"00:03:08",28.08510638,"indonesia","Scarus prasiognathus","TRUE"
"349","Aceh","P Aceh","Scarus","prasiognathus","",19,107,3,19,"00:03:19",32.26130653,"indonesia","Scarus prasiognathus","TRUE"
"350","Aceh","P Aceh","Scarus","prasiognathus","",22,81,3,0,"00:03:00",27,"indonesia","Scarus prasiognathus","TRUE"
"351","Aceh","P Aceh","Scarus","prasiognathus","",15,122,3,3,"00:03:03",40,"indonesia","Scarus prasiognathus","TRUE"
"352","Aceh","P Weh","Scarus","rubroviolaceus","TP",20,89,3,5,"00:03:05",28.86486486,"indonesia","Scarus rubroviolaceus","TRUE"
"353","Aceh","P Weh","Scarus","rubroviolaceus","",19,78,3,0,"00:03:00",26,"indonesia","Scarus rubroviolaceus","TRUE"
"354","Aceh","P Weh","Scarus","rubroviolaceus","",16,69,3,4,"00:03:04",22.5,"indonesia","Scarus rubroviolaceus","TRUE"
"355","Aceh","P Weh","Scarus","rubroviolaceus","",14,94,3,30,"00:03:30",26.85714286,"indonesia","Scarus rubroviolaceus","TRUE"
"356","Aceh","P Weh","Scarus","rubroviolaceus","",33,35,3,2,"00:03:02",11.53846154,"indonesia","Scarus rubroviolaceus","TRUE"
"357","Aceh","P Weh","Scarus","scaber","TP",28,88,3,15,"00:03:15",27.07692308,"indonesia","Scarus scaber","TRUE"
"358","Aceh","P Weh","Scarus","scaber","TP",27,68,3,19,"00:03:19",20.50251256,"indonesia","Scarus scaber","TRUE"
"359","Aceh","P Weh","Scarus","scaber","IP",20,104,3,8,"00:03:08",33.19148936,"indonesia","Scarus scaber","TRUE"
"360","Aceh","P Weh","Scarus","scaber","IP",15,144,3,7,"00:03:07",46.20320856,"indonesia","Scarus scaber","TRUE"
"361","Aceh","P Weh","Scarus","scaber","IP",17,136,3,1,"00:03:01",45.08287293,"indonesia","Scarus scaber","TRUE"
"362","Aceh","P Weh","Scarus","scaber","IP",16,112,3,7,"00:03:07",35.93582888,"indonesia","Scarus scaber","TRUE"
"363","Aceh","P Weh","Scarus","scaber","IP",22,94,3,4,"00:03:04",30.65217391,"indonesia","Scarus scaber","TRUE"
"364","Aceh","P Weh","Scarus","scaber","TP",31,95,3,2,"00:03:02",31.31868132,"indonesia","Scarus scaber","TRUE"
"365","Aceh","P Weh","Scarus","scaber","IP",22,114,3,5,"00:03:05",36.97297297,"indonesia","Scarus scaber","TRUE"
"366","Aceh","P Weh","Scarus","scaber","IP",23,103,3,16,"00:03:16",31.53061224,"indonesia","Scarus scaber","TRUE"
"367","Aceh","P Weh","Scarus","scaber","IP",25,88,3,10,"00:03:10",27.78947368,"indonesia","Scarus scaber","TRUE"
"368","Aceh","P Weh","Scarus","scaber","IP",23,121,3,23,"00:03:23",35.7635468,"indonesia","Scarus scaber","TRUE"
"369","Aceh","P Weh","Scarus","scaber","",16,155,3,9,"00:03:09",49.20634921,"indonesia","Scarus scaber","TRUE"
"370","Aceh","P Weh","Scarus","scaber","",22,123,3,8,"00:03:08",39.25531915,"indonesia","Scarus scaber","TRUE"
"371","Aceh","P Weh","Scarus","scaber","",21,101,3,1,"00:03:01",33.48066298,"indonesia","Scarus scaber","TRUE"
"372","Aceh","P Weh","Scarus","scaber","",19,117,3,1,"00:03:01",38.78453039,"indonesia","Scarus scaber","TRUE"
"373","Aceh","P Weh","Scarus","scaber","",28,81,3,7,"00:03:07",25.98930481,"indonesia","Scarus scaber","TRUE"
"374","Aceh","P Weh","Scarus","scaber","",27,76,3,0,"00:03:00",25.33333333,"indonesia","Scarus scaber","TRUE"
"375","Aceh","P Weh","Scarus","scaber","",30,79,3,4,"00:03:04",25.76086957,"indonesia","Scarus scaber","TRUE"
"376","Aceh","P Weh","Scarus","scaber","",22,90,3,12,"00:03:12",28.125,"indonesia","Scarus scaber","TRUE"
"377","Aceh","P Weh","Scarus","scaber","",25,77,3,6,"00:03:06",24.83870968,"indonesia","Scarus scaber","TRUE"
"378","Aceh","P Aceh","Scarus","scaber","",24,103,3,5,"00:03:05",33.40540541,"indonesia","Scarus scaber","TRUE"
"379","Aceh","P Aceh","Scarus","scaber","",18,148,3,13,"00:03:13",46.01036269,"indonesia","Scarus scaber","TRUE"
"380","Aceh","P Aceh","Scarus","scaber","",15,138,3,16,"00:03:16",42.24489796,"indonesia","Scarus scaber","TRUE"
"381","Aceh","P Aceh","Scarus","scaber","",17,83,3,0,"00:03:00",27.66666667,"indonesia","Scarus scaber","TRUE"
"382","Aceh","P Aceh","Scarus","scaber","",23,107,3,11,"00:03:11",33.61256545,"indonesia","Scarus scaber","TRUE"
"383","Aceh","P Aceh","Scarus","scaber","",28,82,3,1,"00:03:01",27.18232044,"indonesia","Scarus scaber","TRUE"
"384","Aceh","P Aceh","Scarus","scaber","",29,67,3,1,"00:03:01",22.20994475,"indonesia","Scarus scaber","TRUE"
"385","Aceh","P Aceh","Scarus","scaber","",26,76,3,2,"00:03:02",25.05494505,"indonesia","Scarus scaber","TRUE"
"386","Aceh","P Weh","Scarus","scaber","",24,93,3,0,"00:03:00",31,"indonesia","Scarus scaber","TRUE"
"387","Aceh","P Weh","Scarus","scaber","",18,101,3,3,"00:03:03",33.1147541,"indonesia","Scarus scaber","TRUE"
"388","Aceh","P Weh","Scarus","scaber","",23,117,3,9,"00:03:09",37.14285714,"indonesia","Scarus scaber","TRUE"
"389","Aceh","P Weh","Scarus","tricolor","TP",23,62,3,6,"00:03:06",20,"indonesia","Scarus tricolor","TRUE"
"390","Aceh","P Weh","Scarus","tricolor","TP",18,91,3,1,"00:03:01",30.16574586,"indonesia","Scarus tricolor","TRUE"
"391","Aceh","P Weh","Scarus","tricolor","IP",17,80,3,5,"00:03:05",25.94594595,"indonesia","Scarus tricolor","TRUE"
"392","Aceh","P Weh","Scarus","tricolor","IP",16,101,3,49,"00:03:49",26.4628821,"indonesia","Scarus tricolor","TRUE"
"393","Aceh","P Weh","Scarus","tricolor","",15,106,3,21,"00:03:21",31.64179104,"indonesia","Scarus tricolor","TRUE"
"394","Aceh","P Weh","Scarus","tricolor","",22,58,3,0,"00:03:00",19.33333333,"indonesia","Scarus tricolor","TRUE"
"395","Aceh","P Weh","Scarus","tricolor","",27,67,3,6,"00:03:06",21.61290323,"indonesia","Scarus tricolor","TRUE"
"396","Aceh","P Weh","Scarus","tricolor","",20,71,3,1,"00:03:01",23.5359116,"indonesia","Scarus tricolor","TRUE"
"397","Aceh","P Weh","Scarus","tricolor","",18,94,3,1,"00:03:01",31.16022099,"indonesia","Scarus tricolor","TRUE"
"398","Aceh","P Weh","Scarus","tricolor","",18,67,3,3,"00:03:03",21.96721311,"indonesia","Scarus tricolor","TRUE"
"399","Aceh","P Weh","Scarus","tricolor","",18,89,3,17,"00:03:17",27.10659898,"indonesia","Scarus tricolor","TRUE"
"400","Aceh","P Weh","Scarus","tricolor","",21,55,3,0,"00:03:00",18.33333333,"indonesia","Scarus tricolor","TRUE"
"401","Aceh","P Weh","Scarus","tricolor","",15,99,3,4,"00:03:04",32.2826087,"indonesia","Scarus tricolor","TRUE"
"402","Aceh","P Weh","Scarus","tricolor","",23,71,3,22,"00:03:22",21.08910891,"indonesia","Scarus tricolor","TRUE"
"403","Aceh","P Weh","Scarus","tricolor","",23,59,3,41,"00:03:41",16.01809955,"indonesia","Scarus tricolor","TRUE"
"404","Aceh","P Weh","Scarus","tricolor","",27,60,3,9,"00:03:09",19.04761905,"indonesia","Scarus tricolor","TRUE"
"405","Aceh","P Weh","Scarus","tricolor","",24,44,3,0,"00:03:00",14.66666667,"indonesia","Scarus tricolor","TRUE"
"406","Aceh","P Weh","Scarus","tricolor","",20,49,3,2,"00:03:02",16.15384615,"indonesia","Scarus tricolor","TRUE"
"407","Aceh","P Weh","Scarus","tricolor","",26,51,3,0,"00:03:00",17,"indonesia","Scarus tricolor","TRUE"
"408","Aceh","P Weh","Scarus","tricolor","",19,63,3,1,"00:03:01",20.8839779,"indonesia","Scarus tricolor","TRUE"
"409","Aceh","P Weh","Scarus","tricolor","",20,67,3,1,"00:03:01",22.20994475,"indonesia","Scarus tricolor","TRUE"
"410","Aceh","P Weh","Scarus","tricolor","",26,68,3,8,"00:03:08",21.70212766,"indonesia","Scarus tricolor","TRUE"
"411","Aceh","P Weh","Scarus","tricolor","",25,61,3,5,"00:03:05",19.78378378,"indonesia","Scarus tricolor","TRUE"
"412","Aceh","P Weh","Scarus","tricolor","",24,57,3,11,"00:03:11",17.90575916,"indonesia","Scarus tricolor","TRUE"
"413","Aceh","P Weh","Scarus","viridifucatus","TP",19,189,3,4,"00:03:04",61.63043478,"indonesia","Scarus viridifucatus","TRUE"
"414","Aceh","P Weh","Scarus","viridifucatus","TP",21,162,3,14,"00:03:14",50.10309278,"indonesia","Scarus viridifucatus","TRUE"
"415","Aceh","P Weh","Scarus","viridifucatus","TP",19,169,3,14,"00:03:14",52.26804124,"indonesia","Scarus viridifucatus","TRUE"
