"","median","upper","lower","class","preds","col"
"1",24.5802984583026,48.1344729648306,13.1314616243441,"Melichthys niger","Species",NA
"2",29.1292858702712,59.8593892167874,10.5927187812968,"Acanthurus dussumieri","Species",NA
"3",29.0477252629737,58.6583281411917,10.685300325242,"Ctenochaetus striatus","Species",NA
"4",16.3768733415831,32.1591741675508,5.81111578108859,"Siganus doliatus","Species",NA
"5",15.751533655616,32.4972918131422,5.73076251809381,"Siganus corallinus","Species",NA
"6",50.6168169468198,101.551886498181,17.995220368049,"Acanthurus nigrofuscus","Species",NA
"7",57.7488868287728,117.464207429299,20.9633210643179,"Acanthurus olivaceus","Species",NA
"8",42.6054150611192,85.1586409882991,15.3804632243263,"Zebrasoma scopas","Species",NA
"9",26.7585418218468,52.6373094689513,9.47441374785974,"Zebrasoma veliferum","Species",NA
"10",27.2002618809508,64.5460575936527,11.7987878337154,"Melichthys","Genus","black"
"11",39.6506053431474,83.9502433238111,13.8022839912822,"Acanthurus","Genus","black"
"12",29.0729935635876,70.7761376214843,9.36646413581087,"Ctenochaetus","Genus","black"
"13",19.5827339314847,47.1702089437604,6.81665737189193,"Siganus","Genus","black"
"14",32.1499354600969,71.2069451378631,11.4858344262281,"Zebrasoma","Genus","black"
"15",29.3236850292115,65.5582237223792,10.887687991461,"global.mean","global.mean",NA
