Genus,Species,,Location,,Date,TL (cm),Bite length (mm),Bite width (mm)
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,17,7,3
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,20,0,0
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,20,7.7,3.8
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",20/10/2014,20,8.5,6
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",20/10/2014,20,12.4,6.2
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",21/10/2014,23,9.6,5.3
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",21/10/2014,24,0,0
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",21/10/2014,24,0,0
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",20/10/2014,24,10.4,3.6
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,24,13,6.3
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,24,14.5,7
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",21/10/2014,25,13.1,7.6
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",20/10/2014,26,0,0
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",20/10/2014,26,11.6,6
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",21/10/2014,27,11.4,5.3
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",21/10/2014,27,13.9,5.8
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",21/10/2014,27,14.3,5.5
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,28,4.3,4.3
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,28,7,5.4
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",21/10/2014,28,11.4,6.9
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,30,11,3.4
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,30,11.5,6.9
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,30,11.6,8.5
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,30,12.6,4
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,30,19.1,7.4
Chlorurus,microrhinos,,Lagoon entrance (RHS),"Lizard, GBR",18/10/2014,32,12.3,6.1
Chlorurus,microrhinos,,Lagoon entrance (RHS),"Lizard, GBR",18/10/2014,32,13.6,6.5
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",21/10/2014,32,22.8,4.9
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",21/10/2014,32,24.1,5.6
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,33,0,0
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,33,0,0
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,33,13.2,10
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,33,14.5,7
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,33,19.1,7.2
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",20/10/2014,33,20.3,11.8
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,34,18.3,5.1
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,34,21.5,5.3
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",20/10/2014,35,15.5,6.6
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,35,15.8,12
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",20/10/2014,35,16.6,8.9
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",21/10/2014,35,19.6,8.1
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",21/10/2014,35,20.9,6.2
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",20/10/2014,35,24.4,7.7
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,37,22,12.4
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",21/10/2014,37,22,10.6
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,37,23.8,10.2
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",20/10/2014,38,17.8,8.1
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",20/10/2014,38,17.9,9.7
Chlorurus,microrhinos,,Osprey,"Lizard, GBR",10/10/2014,40,27.6,6.6
Chlorurus,microrhinos,,Osprey,"Lizard, GBR",10/10/2014,40,29,6.4
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",20/10/2014,43,20.7,11.1
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",21/10/2014,44,20.4,10.3
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",20/10/2014,46,16.9,13.1
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",20/10/2014,46,24.7,12.6
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",21/10/2014,47,20.3,8.6
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",21/10/2014,48,21.5,11.7
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",21/10/2014,48,23.8,13.5
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",21/10/2014,48,24.7,7.5
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",20/10/2014,50,21.5,14.6
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",20/10/2014,50,24,11.2
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",20/10/2014,54,27.9,14.9
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",21/10/2014,55,16.8,9.7
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",21/10/2014,55,21.5,10.7
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",21/10/2014,55,23.4,8.9
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",21/10/2014,60,26.6,14.2
Chlorurus,microrhinos,,North Reef,"Lizard, GBR",21/10/2014,60,44.2,14.1
Chlorurus,sordidus,IP,Osprey,"Lizard, GBR",10/10/2014,9,4.7,3
Chlorurus,sordidus,IP,Osprey,"Lizard, GBR",10/10/2014,10,0,0
Chlorurus,sordidus,IP,Osprey,"Lizard, GBR",10/10/2014,10,0,0
Chlorurus,sordidus,IP,Osprey,"Lizard, GBR",10/10/2014,10,0,0
Chlorurus,sordidus,IP,Osprey,"Lizard, GBR",10/10/2014,10,0,0
Chlorurus,sordidus,IP,Osprey,"Lizard, GBR",10/10/2014,10,0,0
Chlorurus,sordidus,IP,Osprey,"Lizard, GBR",10/10/2014,10,0,0
Chlorurus,sordidus,IP,Osprey,"Lizard, GBR",10/10/2014,10,0,0
Chlorurus,sordidus,IP,Lagoon entrance (RHS),"Lizard, GBR",18/10/2014,11,0,0
Chlorurus,sordidus,IP,Lagoon entrance (RHS),"Lizard, GBR",18/10/2014,11,0,0
Chlorurus,sordidus,IP,Big Vicki's,"Lizard, GBR",18/10/2014,11,0,0
Chlorurus,sordidus,IP,Big Vicki's,"Lizard, GBR",18/10/2014,11,0,0
Chlorurus,sordidus,IP,Big Vicki's,"Lizard, GBR",18/10/2014,11,0,0
Chlorurus,sordidus,IP,Big Vicki's,"Lizard, GBR",18/10/2014,11,0,0
Chlorurus,sordidus,IP,Big Vicki's,"Lizard, GBR",18/10/2014,11,0,0
Chlorurus,sordidus,IP,Osprey,"Lizard, GBR",10/10/2014,11,7,3.7
Chlorurus,sordidus,IP,Osprey,"Lizard, GBR",10/10/2014,12,0,0
Chlorurus,sordidus,IP,Osprey,"Lizard, GBR",10/10/2014,12,0,0
Chlorurus,sordidus,IP,Osprey,"Lizard, GBR",10/10/2014,12,0,0
Chlorurus,sordidus,IP,Osprey,"Lizard, GBR",10/10/2014,12,0,0
Chlorurus,sordidus,IP,Osprey,"Lizard, GBR",10/10/2014,12,0,0
Chlorurus,sordidus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,12,0,0
Chlorurus,sordidus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,12,6.8,3.5
Chlorurus,sordidus,IP,Back reef behind South,"Lizard, GBR",17/10/2014,12,8.8,3.4
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,13,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,13,0,0
Chlorurus,sordidus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,13,7.3,3.8
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,14,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,14,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,14,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,14,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,14,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,14,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,14,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,14,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,14,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,14,0,0
Chlorurus,sordidus,IP,Back reef behind South,"Lizard, GBR",17/10/2014,14,4,1.8
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,14,5.3,2
Chlorurus,sordidus,IP,Osprey,"Lizard, GBR",10/10/2014,15,0,0
Chlorurus,sordidus,IP,Osprey,"Lizard, GBR",10/10/2014,15,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,15,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,15,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,15,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,15,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,15,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,15,0,0
Chlorurus,sordidus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,16,0,0
Chlorurus,sordidus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,16,0,0
Chlorurus,sordidus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,16,0,0
Chlorurus,sordidus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,16,0,0
Chlorurus,sordidus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,16,0,0
Chlorurus,sordidus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,16,0,0
Chlorurus,sordidus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,16,0,0
Chlorurus,sordidus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,16,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,16,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,16,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,16,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,16,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,16,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,16,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,16,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,16,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,16,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,16,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",21/10/2014,16,0,0
Chlorurus,sordidus,IP,Back reef behind South,"Lizard, GBR",17/10/2014,17,0,0
Chlorurus,sordidus,IP,Back reef behind South,"Lizard, GBR",17/10/2014,17,8.1,1.9
Chlorurus,sordidus,IP,Osprey,"Lizard, GBR",10/10/2014,17,9.4,3.1
Chlorurus,sordidus,IP,Osprey,"Lizard, GBR",10/10/2014,18,0,0
Chlorurus,sordidus,IP,Osprey,"Lizard, GBR",10/10/2014,18,0,0
Chlorurus,sordidus,IP,Osprey,"Lizard, GBR",10/10/2014,18,0,0
Chlorurus,sordidus,IP,Osprey,"Lizard, GBR",10/10/2014,18,0,0
Chlorurus,sordidus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,18,0,0
Chlorurus,sordidus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,18,0,0
Chlorurus,sordidus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,18,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",20/10/2014,18,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",20/10/2014,18,0,0
Chlorurus,sordidus,IP,North Reef,"Lizard, GBR",20/10/2014,18,0,0
Chlorurus,sordidus,IP,Back reef behind South,"Lizard, GBR",17/10/2014,20,7.9,2.9
Chlorurus,sordidus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,22,9.6,4.5
Chlorurus,sordidus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,22,10.8,6.8
Chlorurus,sordidus,IP,Back reef behind South,"Lizard, GBR",17/10/2014,29,0,0
Chlorurus,sordidus,IP,Back reef behind South,"Lizard, GBR",17/10/2014,29,0,0
Chlorurus,sordidus,IP,Back reef behind South,"Lizard, GBR",17/10/2014,29,7.3,4
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",21/10/2014,12,0,0
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",21/10/2014,12,0,0
Chlorurus,sordidus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,13,0,0
Chlorurus,sordidus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,13,0,0
Chlorurus,sordidus,TP,Big Vicki's,"Lizard, GBR",18/10/2014,13,5.3,2.9
Chlorurus,sordidus,TP,Big Vicki's,"Lizard, GBR",18/10/2014,17,0,0
Chlorurus,sordidus,TP,Big Vicki's,"Lizard, GBR",18/10/2014,17,6.2,2.6
Chlorurus,sordidus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,17,9.2,4.8
Chlorurus,sordidus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,17,9.5,4
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",21/10/2014,18,6.5,2
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",21/10/2014,18,6.5,2
Chlorurus,sordidus,TP,Big Vicki's,"Lizard, GBR",18/10/2014,18,8.8,3.6
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",21/10/2014,18,0,0
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",21/10/2014,18,0,0
Chlorurus,sordidus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,19,12.1,3.7
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",21/10/2014,20,0,0
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",21/10/2014,20,0,0
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",21/10/2014,20,0,0
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",20/10/2014,20,8.8,3.9
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",20/10/2014,20,11,4.7
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",21/10/2014,20,12.6,3.8
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",21/10/2014,22,0,0
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",21/10/2014,22,7.5,3.9
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",21/10/2014,22,15.1,4.6
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",20/10/2014,23,0,0
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",20/10/2014,23,0,0
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",20/10/2014,23,0,0
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",20/10/2014,23,0,0
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",20/10/2014,23,0,0
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",21/10/2014,23,0,0
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",21/10/2014,23,9.8,3.9
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",20/10/2014,23,11.3,4.5
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",20/10/2014,23,12.2,4.8
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",20/10/2014,23,12.7,5.2
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",20/10/2014,23,14.1,4.5
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",21/10/2014,24,9.8,3.7
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",20/10/2014,25,9.1,5.7
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",20/10/2014,25,11.2,3.7
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",20/10/2014,27,12.5,7.3
Chlorurus,sordidus,TP,North Reef,"Lizard, GBR",20/10/2014,27,14.7,7.5
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,12,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,12,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,12,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,12,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,12,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,12,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,12,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,12,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,12,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,12,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,12,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,26,14.6,3.7
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,29,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,29,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,29,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,29,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,29,0,0
Scarus,altipinnus,IP,North Reef,"Lizard, GBR",21/10/2014,35,0,0
Scarus,altipinnus,IP,North Reef,"Lizard, GBR",21/10/2014,35,0,0
Scarus,altipinnus,IP,North Reef,"Lizard, GBR",21/10/2014,35,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,26,7.6,2.9
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",18/10/2014,29,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",18/10/2014,29,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",18/10/2014,29,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",18/10/2014,29,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",18/10/2014,29,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",18/10/2014,29,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",18/10/2014,29,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,29,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,29,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,29,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,29,13.9,3.9
Scarus,altipinnus,TP,North Reef,"Lizard, GBR",21/10/2014,32,12.3,4.6
Scarus,altipinnus,TP,North Reef,"Lizard, GBR",21/10/2014,32,14.8,5.1
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,33,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,33,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,35,9.5,3
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,35,19.9,3.6
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,35,20.5,3.5
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,13,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,13,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,13,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,13,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,13,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,13,0,0
