Genus,Species,,Location,,Date,TL (cm),Bite length (mm),Bite width (mm)
Calotomus ,carolinus,TP,North Reef,"Lizard, GBR",20/10/2014,32,0,0
Calotomus ,carolinus,TP,North Reef,"Lizard, GBR",20/10/2014,32,0,0
Calotomus ,carolinus,TP,North Reef,"Lizard, GBR",20/10/2014,32,0,0
Calotomus ,carolinus,TP,North Reef,"Lizard, GBR",20/10/2014,32,0,0
Cetoscarus,bicolor,IP,North Reef,"Lizard, GBR",21/10/2014,12,0,0
Cetoscarus,bicolor,IP,North Reef,"Lizard, GBR",20/10/2014,13,0,0
Cetoscarus,bicolor,IP,North Reef,"Lizard, GBR",20/10/2014,13,4.9,2
Cetoscarus,bicolor,IP,North Reef,"Lizard, GBR",20/10/2014,14,0,0
Cetoscarus,bicolor,IP,North Reef,"Lizard, GBR",20/10/2014,14,0,0
Cetoscarus,bicolor,IP,North Reef,"Lizard, GBR",20/10/2014,14,0,0
Cetoscarus,bicolor,IP,North Reef,"Lizard, GBR",20/10/2014,14,0,0
Cetoscarus,bicolor,IP,North Reef,"Lizard, GBR",20/10/2014,14,0,0
Cetoscarus,bicolor,IP,North Reef,"Lizard, GBR",20/10/2014,14,0,0
Cetoscarus,bicolor,IP,North Reef,"Lizard, GBR",20/10/2014,14,0,0
Cetoscarus,bicolor,IP,North Reef,"Lizard, GBR",21/10/2014,19,0,0
Cetoscarus,bicolor,IP,North Reef,"Lizard, GBR",21/10/2014,19,0,0
Cetoscarus,bicolor,IP,North Reef,"Lizard, GBR",21/10/2014,19,0,0
Cetoscarus,bicolor,IP,North Reef,"Lizard, GBR",21/10/2014,19,0,0
Cetoscarus,bicolor,IP,North Reef,"Lizard, GBR",21/10/2014,19,6.4,2.9
Cetoscarus,bicolor,IP,Big Vicki's,"Lizard, GBR",19/10/2014,22,0,0
Cetoscarus,bicolor,IP,Big Vicki's,"Lizard, GBR",19/10/2014,25,14.1,5.8
Cetoscarus,bicolor,IP,North Reef,"Lizard, GBR",20/10/2014,27,0,0
Cetoscarus,bicolor,IP,North Reef,"Lizard, GBR",20/10/2014,27,0,0
Cetoscarus,bicolor,IP,North Reef,"Lizard, GBR",20/10/2014,32,15.1,6.2
Cetoscarus,bicolor,IP,North Reef,"Lizard, GBR",20/10/2014,32,16.4,5.1
Cetoscarus,bicolor,IP,Big Vicki's,"Lizard, GBR",19/10/2014,35,0,0
Cetoscarus,bicolor,IP,Big Vicki's,"Lizard, GBR",19/10/2014,35,0,0
Cetoscarus,bicolor,IP,Big Vicki's,"Lizard, GBR",19/10/2014,35,0,0
Cetoscarus,bicolor,IP,Big Vicki's,"Lizard, GBR",19/10/2014,35,12.3,3.6
Cetoscarus,bicolor,IP,Big Vicki's,"Lizard, GBR",19/10/2014,35,15.7,5.7
Cetoscarus,bicolor,IP,North Reef,"Lizard, GBR",21/10/2014,38,19.6,8.7
Cetoscarus,bicolor,IP,North Reef,"Lizard, GBR",21/10/2014,40,0,0
Cetoscarus,bicolor,IP,North Reef,"Lizard, GBR",21/10/2014,40,12.9,4.8
Cetoscarus,bicolor,IP,North Reef,"Lizard, GBR",21/10/2014,45,0,0
Cetoscarus,bicolor,IP,North Reef,"Lizard, GBR",21/10/2014,45,32.3,9.5
Cetoscarus,bicolor,TP,North Reef,"Lizard, GBR",21/10/2014,40,0,0
Cetoscarus,bicolor,TP,North Reef,"Lizard, GBR",21/10/2014,40,0,0
Cetoscarus,bicolor,TP,North Reef,"Lizard, GBR",21/10/2014,50,31.7,7.5
Cetoscarus,bicolor,TP,North Reef,"Lizard, GBR",21/10/2014,50,38.9,6.5
Cetoscarus,bicolor,TP,North Reef,"Lizard, GBR",21/10/2014,55,27.4,14.8
Cetoscarus,bicolor,TP,North Reef,"Lizard, GBR",20/10/2014,56,12,10.6
Cetoscarus,bicolor,TP,North Reef,"Lizard, GBR",21/10/2014,60,27.8,13.3
Cetoscarus,bicolor,TP,North Reef,"Lizard, GBR",21/10/2014,60,31.6,13.4
Chlorurus,bleekeri,IP,Lagoon entrance (RHS),"Lizard, GBR",18/10/2014,17,0,0
Chlorurus,bleekeri,IP,Lagoon entrance (RHS),"Lizard, GBR",18/10/2014,17,0,0
Chlorurus,bleekeri,TP,North Reef,"Lizard, GBR",20/10/2014,26,11.9,6.2
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,15,0,0
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,15,0,0
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,15,0,0
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,15,3.7,1.6
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,17,0,0
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,17,0,0
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,17,0,0
Chlorurus,microrhinos,,Big Vicki's,"Lizard, GBR",19/10/2014,17,0,0
