Date,Site,Observer,Temperature,Species,Size,Grp_Size,Mixed_Grp,Start_Time,End_Time,Time,minutes ,seconds ,minutes*60,add_to_ seconds ,total_divided_by_60 ,Total_Bites ,Bites_per_minute,Trial_Time,,
27/10/2016,North_Point,Zoe,26,Ctenochaetus_striatus,21,1,N,12:20:58,12:21:58,0:01:00,1,0,60,60,1,28,28,1,,
27/10/2016,North_Point,Zoe,26,Ctenochaetus_striatus,16,1,N,12:33:00,12:36:07,0:03:07,3,7,180,187,3.116666667,114,36.57754011,3.116666667,,
27/10/2016,North_Point,Zoe,26,Ctenochaetus_striatus,15,1,N,12:42:02,12:45:33,0:03:31,3,31,180,211,3.516666667,113,32.13270142,3.516666667,,
27/10/2016,North_Point,Zoe,26,Ctenochaetus_striatus,16,1,N,14:27:19,14:30:27,0:03:08,3,8,180,188,3.133333333,111,35.42553191,3.133333333,,
27/10/2016,North_Point,Zoe,26,Ctenochaetus_striatus,25,1,N,14:31:51,14:34:11,0:02:20,2,20,120,140,2.333333333,59,25.28571429,2.333333333,,
27/10/2016,North_Point,Zoe,26,Ctenochaetus_striatus,21,1,N,14:36:11,14:39:15,0:03:04,3,4,180,184,3.066666667,88,28.69565217,3.066666667,,
27/10/2016,North_Point,Zoe,26,Ctenochaetus_striatus,20,1,N,14:40:04,14:42:50,0:02:46,2,46,120,166,2.766666667,56,20.24096386,2.766666667,,
27/10/2016,North_Point,Zoe,26,Ctenochaetus_striatus,19,1,N,14:44:10,14:47:08,0:02:58,2,58,120,178,2.966666667,134,45.16853933,2.966666667,,
27/10/2016,North_Point,Zoe,26,Ctenochaetus_striatus,21,1,N,14:49:01,14:51:40,0:02:39,2,39,120,159,2.65,107,40.37735849,2.65,,
27/10/2016,North_Point,Zoe,26,Ctenochaetus_striatus,17,1,N,14:52:08,14:55:09,0:03:01,3,1,180,181,3.016666667,99,32.81767956,3.016666667,,
27/10/2016,North_Point,Lex,26,Naso_unicornis,25,2,N,12:20:00,12:23:00,0:03:00,3,0,180,180,3,83,27.66666667,3,,
27/10/2016,North_Point,Lex,26,Naso_unicornis,27,1,N,12:34:00,12:37:00,0:03:00,3,0,180,180,3,70,23.33333333,3,,
27/10/2016,North_Point,Lex,26,Naso_unicornis,11,1,N,12:40:00,12:43:00,0:03:00,3,0,180,180,3,48,16,3,,
27/10/2016,North_Point,Lex,26,Naso_unicornis,26,1,N,12:43:00,12:44:40,0:01:40,1,40,60,100,1.666666667,31,18.6,1.666666667,,
27/10/2016,North_Point,Lex,26,Naso_unicornis,30,3,N,12:46:00,12:49:00,0:03:00,3,0,180,180,3,37,12.33333333,3,,
27/10/2016,North_Point,Lex,26,Naso_unicornis,27,1,N,14:00:00,14:03:00,0:03:00,3,0,180,180,3,64,21.33333333,3,,
27/10/2016,North_Point,Lex,26,Naso_unicornis,20,1,N,14:08:00,14:11:00,0:03:00,3,0,180,180,3,51,17,3,,
27/10/2016,North_Point,Zoe,26,Naso_unicornis,20,1,N,14:56:30,14:59:28,0:02:58,2,58,120,178,2.966666667,18,6.06741573,2.966666667,,
