Region,Reef,Species,Phase,TL,Bites,min,sec,time,TL,bite rate
GBR,Lizard,C. microrhinos,IP,33,37,4,45,00:04:45,33,7.789473684
GBR,Lizard,C. microrhinos,TP,34,15,6,32,00:06:32,34,2.295918367
GBR,Lizard,C. microrhinos,IP,34,33,4,22,00:04:22,34,7.557251908
GBR,Lizard,C. microrhinos,TP,34,39,5,17,00:05:17,34,7.38170347
GBR,Lizard,C. microrhinos,TP,35,13,3,49,00:03:49,35,3.406113537
GBR,Lizard,C. microrhinos,TP,36,17,4,29,00:04:29,36,3.791821561
GBR,Lizard,C. microrhinos,TP,38,12,6,32,00:06:32,38,1.836734694
GBR,Lizard,C. microrhinos,TP,39,58,6,27,00:06:27,39,8.992248062
GBR,Lizard,C. microrhinos,TP,40,16,3,15,00:03:15,40,4.923076923
GBR,Lizard,C. microrhinos,TP,40,36,5,33,00:05:33,40,6.486486486
GBR,Lizard,C. microrhinos,TP,41,21,4,21,00:04:21,41,4.827586207
GBR,Lizard,C. microrhinos,TP,41,34,6,3,00:06:03,41,5.619834711
GBR,Lizard,C. microrhinos,TP,41,36,4,28,00:04:28,41,8.059701493
GBR,Lizard,C. microrhinos,TP,42,20,4,48,00:04:48,42,4.166666667
GBR,Lizard,C. microrhinos,TP,43,26,5,10,00:05:10,43,5.032258065
GBR,Lizard,C. microrhinos,TP,44,24,4,54,00:04:54,44,4.897959184
GBR,Lizard,C. microrhinos,TP,45,13,3,58,00:03:58,45,3.277310924
GBR,Lizard,C. microrhinos,IP,48,19,4,6,00:04:06,48,4.634146341
GBR,Lizard,C. microrhinos,TP,48,27,5,14,00:05:14,48,5.159235669
GBR,Lizard,C. microrhinos,TP,49,19,5,9,00:05:09,49,3.689320388
GBR,Lizard,C. microrhinos,TP,50,14,5,24,00:05:24,50,2.592592593
GBR,Lizard,C. microrhinos,TP,55,21,5,4,00:05:04,55,4.144736842
GBR,Lizard,C. sordidus,IP,9,59,4,8,00:04:08,9,14.27419355
GBR,Lizard,C. sordidus,IP,9,97,4,6,00:04:06,9,23.65853659
GBR,Lizard,C. sordidus,IP,11,68,4,15,00:04:15,11,16
GBR,Lizard,C. sordidus,IP,14,124,4,18,00:04:18,14,28.8372093
GBR,Lizard,C. sordidus,IP,15,117,4,35,00:04:35,15,25.52727273
GBR,Lizard,C. sordidus,IP,15,106,3,54,00:03:54,15,27.17948718
GBR,Lizard,C. sordidus,IP,15,104,3,43,00:03:43,15,27.98206278
GBR,Lizard,C. sordidus,IP,16,69,4,10,00:04:10,16,16.56
GBR,Lizard,C. sordidus,IP,16,75,3,2,00:03:02,16,24.72527473
GBR,Lizard,C. sordidus,IP,16,82,3,36,00:03:36,16,22.77777778
GBR,Lizard,C. sordidus,IP,16,74,3,2,00:03:02,16,24.3956044
GBR,Lizard,C. sordidus,IP,17,74,3,34,00:03:34,17,20.74766355
GBR,Lizard,C. sordidus,IP,18,125,4,12,00:04:12,18,29.76190476
GBR,Lizard,C. sordidus,IP,18,101,3,57,00:03:57,18,25.56962025
GBR,Lizard,C. sordidus,IP,19,115,3,53,00:03:53,19,29.61373391
GBR,Lizard,C. sordidus,IP,19,77,3,39,00:03:39,19,21.09589041
GBR,Lizard,C. sordidus,IP,20,80,4,5,00:04:05,20,19.59183673
GBR,Lizard,C. sordidus,IP,20,112,4,41,00:04:41,20,23.91459075
GBR,Lizard,C. sordidus,TP,21,66,3,40,00:03:40,21,18
GBR,Lizard,C. sordidus,TP,21,64,3,46,00:03:46,21,16.99115044
GBR,Lizard,C. sordidus,IP,21,72,4,28,00:04:28,21,16.11940299
GBR,Lizard,C. sordidus,IP,21,83,3,35,00:03:35,21,23.1627907
GBR,Lizard,C. sordidus,TP,21,83,4,8,00:04:08,21,20.08064516
GBR,Lizard,C. sordidus,TP,22,68,3,40,00:03:40,22,18.54545455
GBR,Lizard,C. sordidus,TP,23,59,4,31,00:04:31,23,13.06273063
GBR,Lizard,C. sordidus,TP,23,72,3,38,00:03:38,23,19.81651376
GBR,Lizard,C. sordidus,TP,23,84,4,3,00:04:03,23,20.74074074
GBR,Lizard,C. sordidus,TP,24,62,4,5,00:04:05,24,15.18367347
GBR,Lizard,C. sordidus,TP,24,49,3,12,00:03:12,24,15.3125
GBR,Lizard,C. sordidus,TP,24,53,3,8,00:03:08,24,16.91489362
GBR,Lizard,C. sordidus,TP,24,64,4,46,00:04:46,24,13.42657343
GBR,Lizard,C. sordidus,TP,24,47,3,59,00:03:59,24,11.79916318
GBR,Lizard,C. sordidus,TP,24,62,4,35,00:04:35,24,13.52727273
GBR,Lizard,C. sordidus,TP,24,69,4,4,00:04:04,24,16.96721311
GBR,Lizard,C. sordidus,TP,24,56,4,6,00:04:06,24,13.65853659
GBR,Lizard,C. sordidus,TP,24,81,5,7,00:05:07,24,15.83061889
GBR,Lizard,C. sordidus,TP,25,64,3,13,00:03:13,25,19.89637306
GBR,Lizard,C. sordidus,TP,25,57,3,49,00:03:49,25,14.93449782
GBR,Lizard,C. sordidus,TP,25,50,3,6,00:03:06,25,16.12903226
GBR,Lizard,C. sordidus,TP,25,45,4,2,00:04:02,25,11.15702479
GBR,Lizard,C. sordidus,TP,25,44,4,13,00:04:13,25,10.43478261
GBR,Lizard,C. sordidus,TP,25,39,3,9,00:03:09,25,12.38095238
GBR,Lizard,C. sordidus,TP,25,64,4,10,00:04:10,25,15.36
GBR,Lizard,C. sordidus,TP,25,69,4,0,00:04:00,25,17.25
GBR,Lizard,C. sordidus,TP,25,69,4,5,00:04:05,25,16.89795918
