Region,Reef,Water temp,Species,Phase,TL,Bites,min,sec,time,bite rate (bites/min)
Aceh,P Weh,28,C. strongylocephalus,TP,38,18,3,1,00:03:01,5.966850829
Aceh,P Weh,28,C. strongylocephalus,IP,12,59,3,6,00:03:06,19.03225806
Aceh,P Weh,28,C. strongylocephalus,IP,22,31,3,12,00:03:12,9.6875
Aceh,P Weh,28,C. strongylocephalus,IP,18,32,3,0,00:03:00,10.66666667
Aceh,P Weh,28,C. strongylocephalus,TP,36,14,3,7,00:03:07,4.49197861
Aceh,P Weh,28,C. strongylocephalus,IP,29,22,3,38,00:03:38,6.055045872
Aceh,P Weh,28,C. strongylocephalus,IP,31,14,3,2,00:03:02,4.615384615
Aceh,P Weh,28,C. strongylocephalus,,43,12,3,13,00:03:13,3.730569948
Aceh,P Weh,28,C. strongylocephalus,,33,28,3,27,00:03:27,8.115942029
Aceh,P Weh,28,C. strongylocephalus,,32,29,3,3,00:03:03,9.508196721
Aceh,P Weh,28,C. strongylocephalus,,30,34,3,18,00:03:18,10.3030303
Aceh,P Weh,28,C. strongylocephalus,,15,51,3,2,00:03:02,16.81318681
Aceh,P Weh,28,C. strongylocephalus,,40,13,3,0,00:03:00,4.333333333
Aceh,P Weh,28,C. strongylocephalus,,38,17,3,0,00:03:00,5.666666667
Aceh,P Weh,28,C. strongylocephalus,,30,23,3,3,00:03:03,7.540983607
Aceh,P Weh,28,C. strongylocephalus,,33,19,3,12,00:03:12,5.9375
Aceh,P Weh,28,C. strongylocephalus,,15,52,4,4,00:04:04,12.78688525
Aceh,P Weh,28,C. strongylocephalus,,19,36,3,1,00:03:01,11.93370166
Aceh,P Weh,28,C. strongylocephalus,,28,25,3,1,00:03:01,8.287292818
Aceh,P Weh,28,C. strongylocephalus,,22,31,3,0,00:03:00,10.33333333
Aceh,P Weh,28,C. strongylocephalus,,29,13,3,7,00:03:07,4.171122995
Aceh,P Weh,28,C. strongylocephalus,,33,16,3,2,00:03:02,5.274725275
Aceh,P Weh,28,C. strongylocephalus,,31,17,3,11,00:03:11,5.340314136
Aceh,P Weh,28,C. strongylocephalus,,30,22,3,8,00:03:08,7.021276596
Aceh,P Aceh,28,C. strongylocephalus,,26,29,4,6,00:04:06,7.073170732
Aceh,P Aceh,28,C. strongylocephalus,,18,47,4,2,00:04:02,11.65289256
Aceh,P Aceh,28,C. strongylocephalus,,25,30,3,7,00:03:07,9.625668449
Aceh,P Aceh,28,C. strongylocephalus,,27,33,3,7,00:03:07,10.58823529
Aceh,P Aceh,28,C. strongylocephalus,,42,17,3,1,00:03:01,5.635359116
Aceh,P Weh,28,S. frenatus,IP,11,97,3,28,00:03:28,27.98076923
Aceh,P Weh,28,S. frenatus,IP,15,78,3,6,00:03:06,25.16129032
Aceh,P Weh,28,S. frenatus,IP,17,96,3,53,00:03:53,24.72103004
Aceh,P Weh,28,S. frenatus,IP,18,56,3,16,00:03:16,17.14285714
Aceh,P Weh,28,S. frenatus,TP,25,62,4,39,00:04:39,13.33333333
Aceh,P Weh,28,S. frenatus,TP,21,92,3,36,00:03:36,25.55555556
Aceh,P Weh,28,S. frenatus,TP,24,73,3,10,00:03:10,23.05263158
Aceh,P Weh,28,S. frenatus,IP,15,136,3,2,00:03:02,44.83516484
Aceh,P Weh,28,S. frenatus,IP,13,111,3,18,00:03:18,33.63636364
Aceh,P Weh,28,S. frenatus,TP,27,58,3,1,00:03:01,19.22651934
Aceh,P Weh,28,S. frenatus,TP,25,69,3,2,00:03:02,22.74725275
Aceh,P Weh,28,S. frenatus,IP,21,67,3,4,00:03:04,21.84782609
Aceh,P Weh,28,S. frenatus,IP,15,110,3,1,00:03:01,36.4640884
Aceh,P Weh,28,S. frenatus,TP,26,77,4,2,00:04:02,19.09090909
Aceh,P Weh,28,S. frenatus,IP,12,117,3,9,00:03:09,37.14285714
Aceh,P Weh,28,S. frenatus,IP,17,99,3,3,00:03:03,32.45901639
Aceh,P Weh,28,S. frenatus,IP,19,71,3,42,00:03:42,19.18918919
Aceh,P Weh,28,S. frenatus,TP,26,52,3,7,00:03:07,16.68449198
Aceh,P Weh,28,S. frenatus,IP,16,110,3,1,00:03:01,36.4640884
Aceh,P Weh,28,S. frenatus,,10,137,3,41,00:03:41,37.19457014
Aceh,P Weh,28,S. frenatus,,22,61,3,10,00:03:10,19.26315789
Aceh,P Weh,28,S. frenatus,,17,94,3,3,00:03:03,30.81967213
Aceh,P Weh,28,S. frenatus,,19,53,3,2,00:03:02,17.47252747
Aceh,P Weh,28,S. frenatus,,24,61,3,14,00:03:14,18.86597938
Aceh,P Weh,28,S. frenatus,,23,67,3,0,00:03:00,22.33333333
Aceh,P Weh,28,S. frenatus,,24,52,3,1,00:03:01,17.23756906
Aceh,P Weh,28,S. frenatus,,20,69,4,5,00:04:05,16.89795918
Aceh,P Weh,28,S. frenatus,,15,98,3,36,00:03:36,27.22222222
Aceh,P Weh,28,S. frenatus,,23,70,3,51,00:03:51,18.18181818
Aceh,P Weh,28,S. frenatus,,27,49,3,29,00:03:29,14.06698565
Aceh,P Weh,28,S. frenatus,,24,34,3,12,00:03:12,10.625
Aceh,P Weh,28,S. frenatus,,16,71,3,1,00:03:01,23.5359116
Aceh,P Aceh,28,S. niger,IP,21,65,3,1,00:03:01,21.54696133
Aceh,P Weh,28,S. niger,,16,146,3,39,00:03:39,40
Aceh,P Weh,28,S. niger,,25,76,3,11,00:03:11,23.87434555
Aceh,P Weh,28,S. prasiognathus,IP,17,117,3,4,00:03:04,38.15217391
Aceh,P Weh,28,S. prasiognathus,TP,27,139,3,58,00:03:58,35.04201681
Aceh,P Weh,28,S. prasiognathus,IP,25,112,3,0,00:03:00,37.33333333
Aceh,P Weh,28,S. prasiognathus,IP,24,153,3,37,00:03:37,42.30414747
Aceh,P Weh,28,S. prasiognathus,TP,32,94,3,14,00:03:14,29.07216495
Aceh,P Weh,28,S. prasiognathus,IP,21,112,3,36,00:03:36,31.11111111
Aceh,P Weh,28,S. prasiognathus,IP,19,111,3,3,00:03:03,36.39344262
Aceh,P Weh,28,S. prasiognathus,TP,31,81,3,4,00:03:04,26.41304348
Aceh,P Weh,28,S. prasiognathus,IP,13,97,3,0,00:03:00,32.33333333
Aceh,P Weh,28,S. prasiognathus,IP,20,113,3,14,00:03:14,34.94845361
Aceh,P Weh,28,S. prasiognathus,IP,22,99,3,2,00:03:02,32.63736264
Aceh,P Weh,28,S. prasiognathus,IP,22,119,3,11,00:03:11,37.38219895
Aceh,P Weh,28,S. prasiognathus,IP,25,108,3,0,00:03:00,36
Aceh,P Weh,28,S. prasiognathus,,14,137,3,43,00:03:43,36.86098655
Aceh,P Weh,28,S. prasiognathus,,33,87,3,11,00:03:11,27.32984293
Aceh,P Weh,28,S. prasiognathus,,32,100,3,20,00:03:20,30
Aceh,P Weh,28,S. prasiognathus,,33,91,3,4,00:03:04,29.67391304
Aceh,P Weh,28,S. prasiognathus,,25,88,3,6,00:03:06,28.38709677
Aceh,P Weh,28,S. prasiognathus,,27,103,3,1,00:03:01,34.14364641
Aceh,P Weh,28,S. prasiognathus,,30,77,3,0,00:03:00,25.66666667
Aceh,P Weh,28,S. prasiognathus,,22,104,3,37,00:03:37,28.75576037
Aceh,P Weh,28,S. prasiognathus,,21,111,3,5,00:03:05,36
Aceh,P Weh,28,S. prasiognathus,,29,94,3,2,00:03:02,30.98901099
Aceh,P Weh,28,S. prasiognathus,,26,103,3,10,00:03:10,32.52631579
Aceh,P Weh,28,S. prasiognathus,,31,68,3,14,00:03:14,21.03092784
Aceh,P Aceh,28,S. prasiognathus,,20,125,3,51,00:03:51,32.46753247
Aceh,P Aceh,28,S. prasiognathus,,27,88,3,8,00:03:08,28.08510638
Aceh,P Aceh,28,S. prasiognathus,,19,107,3,19,00:03:19,32.26130653
Aceh,P Aceh,28,S. prasiognathus,,22,81,3,0,00:03:00,27
Aceh,P Aceh,28,S. prasiognathus,,15,122,3,3,00:03:03,40
Aceh,P Weh,28,S. quoyi,IP,10,152,3,4,00:03:04,49.56521739
Aceh,P Weh,28,S. rubroviolaceus,TP,20,89,3,5,00:03:05,28.86486486
Aceh,P Weh,28,S. rubroviolaceus,,19,78,3,0,00:03:00,26
Aceh,P Weh,28,S. rubroviolaceus,,16,69,3,4,00:03:04,22.5
Aceh,P Weh,28,S. rubroviolaceus,,14,94,3,30,00:03:30,26.85714286
Aceh,P Weh,28,S. rubroviolaceus,,33,35,3,2,00:03:02,11.53846154
Aceh,P Weh,28,S. russelli,IP,20,108,2,58,00:02:58,36.40449438
Aceh,P Weh,28,S. russelli,IP,26,79,3,6,00:03:06,25.48387097
Aceh,P Weh,28,S. russelli,TP,33,53,3,2,00:03:02,17.47252747
Aceh,P Weh,28,S. russelli,TP,30,59,2,59,00:02:59,19.77653631
Aceh,P Weh,28,S. russelli,TP,31,46,3,3,00:03:03,15.08196721
Aceh,P Weh,28,S. russelli,IP,24,106,3,0,00:03:00,35.33333333
Aceh,P Weh,28,S. russelli,IP,17,112,3,8,00:03:08,35.74468085
Aceh,P Weh,28,S. russelli,TP,28,76,3,11,00:03:11,23.87434555
Aceh,P Weh,28,S. russelli,TP,30,64,3,31,00:03:31,18.19905213
Aceh,P Weh,28,S. russelli,IP,23,104,3,0,00:03:00,34.66666667
Aceh,P Weh,28,S. russelli,IP,20,97,3,2,00:03:02,31.97802198
Aceh,P Weh,28,S. russelli,,29,94,3,41,00:03:41,25.52036199
Aceh,P Weh,28,S. russelli,,24,93,3,7,00:03:07,29.83957219
Aceh,P Weh,28,S. russelli,,27,73,3,2,00:03:02,24.06593407
Aceh,P Weh,28,S. russelli,,20,87,3,1,00:03:01,28.83977901
Aceh,P Weh,28,S. russelli,,18,113,3,8,00:03:08,36.06382979
Aceh,P Weh,28,S. russelli,,17,167,4,26,00:04:26,37.66917293
Aceh,P Weh,28,S. russelli,,30,77,3,33,00:03:33,21.69014085
Aceh,P Weh,28,S. russelli,,33,64,3,17,00:03:17,19.49238579
Aceh,P Weh,28,S. russelli,,24,78,3,1,00:03:01,25.85635359
Aceh,P Weh,28,S. russelli,,23,91,3,2,00:03:02,30
Aceh,P Weh,28,S. russelli,,26,79,4,4,00:04:04,19.42622951
Aceh,P Weh,28,S. russelli,,31,86,5,5,00:05:05,16.91803279
Aceh,P Weh,28,S. russelli,,29,61,3,7,00:03:07,19.57219251
Aceh,P Weh,28,S. russelli,,19,94,3,13,00:03:13,29.22279793
Aceh,P Weh,28,S. russelli,,23,102,3,0,00:03:00,34
Aceh,P Weh,28,S. russelli,,22,122,3,12,00:03:12,38.125
Aceh,P Weh,28,S. russelli,,22,93,3,5,00:03:05,30.16216216
Aceh,P Weh,28,S. russelli,,20,69,3,0,00:03:00,23
Aceh,P Weh,28,S. scaber,TP,28,88,3,15,00:03:15,27.07692308
Aceh,P Weh,28,S. scaber,TP,27,68,3,19,00:03:19,20.50251256
Aceh,P Weh,28,S. scaber,IP,20,104,3,8,00:03:08,33.19148936
Aceh,P Weh,28,S. scaber,IP,15,144,3,7,00:03:07,46.20320856
Aceh,P Weh,28,S. scaber,IP,17,136,3,1,00:03:01,45.08287293
Aceh,P Weh,28,S. scaber,IP,16,112,3,7,00:03:07,35.93582888
Aceh,P Weh,28,S. scaber,IP,22,94,3,4,00:03:04,30.65217391
Aceh,P Weh,28,S. scaber,TP,31,95,3,2,00:03:02,31.31868132
Aceh,P Weh,28,S. scaber,IP,22,114,3,5,00:03:05,36.97297297
Aceh,P Weh,28,S. scaber,IP,23,103,3,16,00:03:16,31.53061224
Aceh,P Weh,28,S. scaber,IP,25,88,3,10,00:03:10,27.78947368
Aceh,P Weh,28,S. scaber,IP,23,121,3,23,00:03:23,35.7635468
Aceh,P Weh,28,S. scaber,,16,155,3,9,00:03:09,49.20634921
